주요재무정보,2013,2014,2015,2016,2017,2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,28375.0,53292.0,42356.0,43360.0,42648.0,25570.0,26460.0,27230.0
영업이익,344.0,277.0,177.0,157.0,1072.0,1110.0,1580.0,2230.0
영업이익(발표기준),344.0,277.0,177.0,157.0,1072.0,,,
세전계속사업이익,189.0,268.0,266.0,165.0,1055.0,1070.0,1580.0,2230.0
당기순이익,119.0,129.0,197.0,315.0,853.0,813.0,1200.0,1690.0
당기순이익(지배),119.0,129.0,197.0,315.0,853.0,813.0,1200.0,1690.0
당기순이익(비지배),0.0,0.0,,,,,,
자산총계,65809.0,103316.0,89879.0,102160.0,111539.0,119180.0,129670.0,141420.0
부채총계,62902.0,97366.0,85458.0,96637.0,105246.0,113120.0,122410.0,132560.0
자본총계,2908.0,5950.0,4420.0,5523.0,6293.0,6060.0,7260.0,8860.0
자본총계(지배),2908.0,5950.0,4420.0,5523.0,6293.0,6060.0,7260.0,8860.0
자본총계(비지배),,,,,,,,
자본금,3258.0,4537.0,3258.0,3258.0,3258.0,3260.0,3260.0,3260.0
영업활동현금흐름,-360.0,9176.0,5475.0,9855.0,9946.0,,,
투자활동현금흐름,-124.0,-8463.0,-5954.0,-11739.0,-9640.0,,,
재무활동현금흐름,402.0,0.0,507.0,973.0,-59.0,,,
CAPEX,26.0,86.0,19.0,30.0,43.0,,,
FCF,,,,,,,,
이자발생부채,1416.0,1944.0,2014.0,2061.0,2058.0,,,
영업이익률,1.21,0.52,0.42,0.36,2.51,4.34,5.97,8.19
순이익률,0.42,0.24,0.46,0.73,2.0,3.18,4.54,6.21
ROE(%),3.62,2.9,3.79,6.34,14.44,13.16,18.02,20.97
ROA(%),0.19,0.15,0.2,0.33,0.8,0.71,0.96,1.25
부채비율,2163.42,1636.29,1933.35,1749.86,1672.33,1866.67,1686.09,1496.16
자본유보율,-10.76,31.16,35.66,69.5,93.15,,,
EPS(원),183.0,197.0,302.0,483.0,1309.0,1248.0,1842.0,2593.0
PER(배),22.81,18.67,13.93,7.66,4.09,4.81,3.26,2.31
BPS(원),4462.0,9131.0,6783.0,8475.0,9658.0,9300.0,11141.0,13596.0
PBR(배),0.94,0.4,0.62,0.44,0.55,0.65,0.54,0.44
현금DPS(원),0.0,0.0,0.0,0.0,,0.0,150.0,250.0
현금배당수익률,0.0,0.0,0.0,0.0,,0.0,2.5,4.17
현금배당성향(%),,0.0,0.0,0.0,,,0.08,0.1
발행주식수(보통주),64242645.0,64242645.0,64242645.0,64242645.0,64242645.0,,,
