주요재무정보,2014/03,2015/03,2016/03,2016,2017,2018(E),2019(E),2020(E)
매출액,794.0,830.0,669.0,552.0,657.0,,,
영업이익,-15.0,0.0,16.0,12.0,8.0,,,
영업이익(발표기준),-15.0,0.0,16.0,12.0,8.0,,,
세전계속사업이익,-45.0,93.0,-2.0,-4.0,-29.0,,,
당기순이익,-29.0,73.0,-1.0,-1.0,-30.0,,,
당기순이익(지배),-34.0,72.0,-3.0,3.0,-21.0,,,
당기순이익(비지배),5.0,1.0,1.0,-4.0,-8.0,,,
자산총계,2681.0,2733.0,2783.0,2779.0,2808.0,,,
부채총계,869.0,856.0,905.0,896.0,960.0,,,
자본총계,1812.0,1877.0,1878.0,1883.0,1848.0,,,
자본총계(지배),1031.0,1095.0,1095.0,1103.0,1077.0,,,
자본총계(비지배),780.0,781.0,783.0,779.0,771.0,,,
자본금,140.0,140.0,140.0,140.0,140.0,,,
영업활동현금흐름,-14.0,-85.0,53.0,12.0,-29.0,,,
투자활동현금흐름,159.0,103.0,-51.0,-37.0,-66.0,,,
재무활동현금흐름,-133.0,11.0,61.0,1.0,50.0,,,
CAPEX,0.0,7.0,7.0,2.0,4.0,,,
FCF,-14.0,-91.0,46.0,11.0,-32.0,,,
이자발생부채,677.0,688.0,749.0,750.0,800.0,,,
영업이익률,-1.93,0.04,2.32,2.15,1.19,,,
순이익률,-3.64,8.78,-0.17,-0.21,-4.52,,,
ROE(%),-3.22,6.74,-0.24,0.24,-1.97,,,
ROA(%),-1.06,2.69,-0.04,-0.04,-1.06,,,
부채비율,47.98,45.63,48.19,47.59,51.97,,,
자본유보율,636.58,682.51,682.16,688.11,669.27,,,
EPS(원),-1206.0,2560.0,-93.0,96.0,-766.0,,,
PER(배),-7.83,12.77,-213.89,201.43,-23.49,,,
BPS(원),36828.0,39123.0,39104.0,39405.0,38463.0,,,
PBR(배),0.26,0.84,0.51,0.49,0.47,,,
현금DPS(원),0.0,0.0,0.0,,,,,
현금배당수익률,0.0,0.0,0.0,,,,,
현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),2800000.0,2800000.0,2800000.0,2800000.0,2800000.0,,,
