주요재무정보,2013(IFRS별도),2014(IFRS별도),2015,2016,2017,2018(E),2019(E),2020(E)
매출액,469.0,303.0,422.0,472.0,419.0,,,
영업이익,-114.0,-198.0,-19.0,-63.0,-69.0,,,
영업이익(발표기준),-114.0,-198.0,-19.0,-96.0,-69.0,,,
세전계속사업이익,-185.0,-237.0,-7.0,-173.0,-110.0,,,
당기순이익,-185.0,-237.0,-10.0,-216.0,-75.0,,,
당기순이익(지배),-185.0,-237.0,-10.0,-216.0,-75.0,,,
당기순이익(비지배),,,0.0,0.0,0.0,,,
자산총계,802.0,574.0,1302.0,1383.0,1542.0,,,
부채총계,614.0,341.0,840.0,559.0,603.0,,,
자본총계,187.0,233.0,462.0,824.0,939.0,,,
자본총계(지배),187.0,233.0,462.0,824.0,939.0,,,
자본총계(비지배),,,0.0,0.0,,,,
자본금,58.0,114.0,138.0,199.0,207.0,,,
영업활동현금흐름,6.0,-136.0,-42.0,-99.0,55.0,,,
투자활동현금흐름,-20.0,15.0,-515.0,-283.0,-223.0,,,
재무활동현금흐름,-66.0,149.0,713.0,241.0,194.0,,,
CAPEX,18.0,21.0,119.0,332.0,61.0,,,
FCF,-12.0,-157.0,-161.0,-432.0,-6.0,,,
이자발생부채,384.0,260.0,747.0,442.0,454.0,,,
영업이익률,-24.33,-65.44,-4.44,-13.41,-16.41,,,
순이익률,-39.4,-78.41,-2.36,-45.8,-17.99,,,
ROE(%),-69.18,-112.99,,-33.62,-8.56,,,
ROA(%),-20.18,-34.52,,-16.1,-5.16,,,
부채비율,327.82,146.45,181.63,67.87,64.27,,,
자본유보율,6.0,-11.16,150.22,256.52,238.98,,,
EPS(원),-1362.0,-1078.0,-32.0,-566.0,-170.0,,,
PER(배),-1.15,-1.78,-241.22,-6.77,-21.69,,,
BPS(원),1335.0,851.0,1388.0,1866.0,2038.0,,,
PBR(배),1.17,2.25,5.59,2.05,1.81,,,
현금DPS(원),0.0,0.0,0.0,0.0,0.0,,,
현금배당수익률,0.0,0.0,0.0,0.0,0.0,,,
현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),14075972.0,27418789.0,33358945.0,44195537.0,46102208.0,,,
