주요재무정보,2014/03(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,1660.0,1266.0,1832.0,1873.0,1706.0,,,
영업이익,63.0,83.0,116.0,89.0,61.0,,,
영업이익(발표기준),63.0,83.0,116.0,89.0,61.0,,,
세전계속사업이익,61.0,83.0,101.0,91.0,65.0,,,
당기순이익,46.0,63.0,77.0,69.0,49.0,,,
당기순이익(지배),46.0,63.0,77.0,69.0,49.0,,,
당기순이익(비지배),0.0,0.0,,,,,,
자산총계,5149.0,6624.0,9635.0,11077.0,17167.0,,,
부채총계,2589.0,4027.0,7009.0,8395.0,14478.0,,,
자본총계,2561.0,2598.0,2626.0,2683.0,2689.0,,,
자본총계(지배),2561.0,2598.0,2626.0,2683.0,2689.0,,,
자본총계(비지배),0.0,0.0,,,,,,
자본금,663.0,663.0,663.0,663.0,663.0,,,
영업활동현금흐름,-1191.0,-740.0,-40.0,288.0,-27.0,,,
투자활동현금흐름,24.0,-1.0,-5.0,-67.0,-15.0,,,
재무활동현금흐름,1158.0,739.0,51.0,-224.0,45.0,,,
CAPEX,8.0,2.0,4.0,5.0,7.0,,,
FCF,,,,,,,,
이자발생부채,0.0,336.0,432.0,264.0,355.0,,,
영업이익률,3.8,6.57,6.35,4.73,3.58,,,
순이익률,2.79,4.95,4.18,3.7,2.87,,,
ROE(%),1.78,2.43,2.93,2.61,1.83,,,
ROA(%),0.85,1.06,0.94,0.67,0.35,,,
부채비율,101.1,155.01,266.88,312.94,538.4,,,
자본유보율,287.19,292.8,297.11,305.6,306.59,,,
EPS(원),349.0,473.0,578.0,523.0,370.0,,,
PER(배),18.35,14.81,12.7,13.87,20.87,,,
BPS(원),19396.0,19678.0,19894.0,20320.0,20370.0,,,
PBR(배),0.33,0.36,0.37,0.36,0.38,,,
현금DPS(원),250.0,350.0,400.0,350.0,350.0,,,
현금배당수익률,3.9,4.99,5.45,4.83,4.53,,,
현금배당성향(%),71.8,74.05,69.27,67.05,94.74,,,
발행주식수(보통주),12728534.0,12728534.0,12728534.0,12728534.0,12728534.0,,,
