주요재무정보,2013(IFRS별도),2014,2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,708.0,653.0,1658.0,1812.0,1901.0,,,
영업이익,48.0,-112.0,206.0,307.0,258.0,,,
영업이익(발표기준),48.0,-112.0,206.0,307.0,258.0,,,
세전계속사업이익,67.0,-118.0,170.0,126.0,170.0,,,
당기순이익,20.0,-107.0,122.0,87.0,104.0,,,
당기순이익(지배),20.0,-107.0,122.0,87.0,104.0,,,
당기순이익(비지배),,,,,,,,
자산총계,1205.0,3145.0,3159.0,3324.0,3073.0,,,
부채총계,255.0,1333.0,1247.0,1341.0,1323.0,,,
자본총계,950.0,1812.0,1912.0,1983.0,1750.0,,,
자본총계(지배),950.0,1812.0,1912.0,1983.0,1750.0,,,
자본총계(비지배),,,,,,,,
자본금,244.0,593.0,593.0,593.0,593.0,,,
영업활동현금흐름,30.0,-144.0,380.0,486.0,223.0,,,
투자활동현금흐름,71.0,-1890.0,-58.0,-166.0,-43.0,,,
재무활동현금흐름,0.0,1755.0,-111.0,-61.0,-327.0,,,
CAPEX,49.0,23.0,36.0,17.0,17.0,,,
FCF,-19.0,-167.0,345.0,469.0,206.0,,,
이자발생부채,70.0,874.0,782.0,727.0,766.0,,,
영업이익률,6.82,-17.13,12.44,16.96,13.58,,,
순이익률,2.86,-16.38,7.38,4.79,5.47,,,
ROE(%),2.15,,6.57,4.46,5.57,,,
ROA(%),1.71,,3.86,2.68,3.25,,,
부채비율,26.85,73.53,65.19,67.64,75.62,,,
자본유보율,288.58,205.68,222.57,234.46,252.2,,,
EPS(원),414.0,-2057.0,1032.0,732.0,877.0,,,
PER(배),59.01,-6.66,17.97,32.39,32.27,,,
BPS(원),19429.0,15284.0,16128.0,16723.0,16352.0,,,
PBR(배),1.26,0.9,1.15,1.42,1.73,,,
현금DPS(원),0.0,0.0,0.0,,,,,
현금배당수익률,0.0,0.0,0.0,,,,,
현금배당성향(%),0.0,0.0,0.0,0.0,,,,
발행주식수(보통주),4889986.0,11857922.0,11857922.0,11857922.0,11857922.0,,,
