주요재무정보,2013/11,2014/11(IFRS별도),2015/11(IFRS별도),2016/11(IFRS별도),2017/11(IFRS별도),2018/11(E)(IFRS별도),2019/11(E)(IFRS별도),2020/11(E)(IFRS별도)
매출액,1081.0,1078.0,1098.0,1200.0,1305.0,,,
영업이익,22.0,23.0,17.0,25.0,20.0,,,
영업이익(발표기준),22.0,23.0,17.0,23.0,20.0,,,
세전계속사업이익,12.0,16.0,50.0,15.0,16.0,,,
당기순이익,15.0,15.0,16.0,14.0,15.0,,,
당기순이익(지배),14.0,15.0,16.0,14.0,15.0,,,
당기순이익(비지배),0.0,,,,,,,
자산총계,1434.0,1473.0,1465.0,1482.0,1546.0,,,
부채총계,422.0,426.0,421.0,505.0,565.0,,,
자본총계,1012.0,1047.0,1044.0,978.0,981.0,,,
자본총계(지배),1007.0,1047.0,1044.0,978.0,981.0,,,
자본총계(비지배),5.0,,,,,,,
자본금,140.0,140.0,140.0,140.0,140.0,,,
영업활동현금흐름,80.0,35.0,-28.0,-27.0,-20.0,,,
투자활동현금흐름,-7.0,-3.0,-51.0,-28.0,26.0,,,
재무활동현금흐름,-94.0,-30.0,46.0,37.0,-10.0,,,
CAPEX,22.0,12.0,25.0,21.0,23.0,,,
FCF,57.0,23.0,-53.0,-49.0,-43.0,,,
이자발생부채,208.0,188.0,210.0,269.0,295.0,,,
영업이익률,2.02,2.09,1.55,2.05,1.54,,,
순이익률,1.35,1.36,1.45,1.16,1.12,,,
ROE(%),1.42,1.43,1.52,1.38,1.49,,,
ROA(%),1.0,1.01,1.08,0.95,0.96,,,
부채비율,41.69,40.7,40.32,51.62,57.61,,,
자본유보율,707.12,703.07,714.13,694.74,695.21,,,
EPS(원),49.0,51.0,55.0,49.0,51.0,,,
PER(배),35.81,47.29,70.26,91.59,74.2,,,
BPS(원),4156.0,4321.0,4152.0,3927.0,4027.0,,,
PBR(배),0.42,0.56,0.94,1.13,0.93,,,
현금DPS(원),41.0,44.0,46.0,46.0,49.0,,,
현금배당수익률,2.35,1.81,1.19,1.04,1.29,,,
현금배당성향(%),70.44,71.87,72.65,82.0,80.86,,,
발행주식수(보통주),28779275.0,28779275.0,28779275.0,28779275.0,28779275.0,,,
