주요재무정보,2013,2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,334.0,202.0,252.0,278.0,252.0,,,
영업이익,-76.0,-84.0,-55.0,-19.0,-45.0,,,
영업이익(발표기준),-76.0,-84.0,-55.0,-19.0,-45.0,,,
세전계속사업이익,-257.0,-288.0,-64.0,-7.0,-392.0,,,
당기순이익,-257.0,-288.0,-64.0,-7.0,-392.0,,,
당기순이익(지배),-257.0,-288.0,-64.0,-7.0,-392.0,,,
당기순이익(비지배),0.0,,,,,,,
자산총계,994.0,988.0,1021.0,1020.0,638.0,,,
부채총계,169.0,154.0,108.0,74.0,78.0,,,
자본총계,824.0,834.0,913.0,946.0,560.0,,,
자본총계(지배),825.0,834.0,913.0,946.0,560.0,,,
자본총계(비지배),0.0,,,,,,,
자본금,217.0,263.0,286.0,292.0,292.0,,,
영업활동현금흐름,-27.0,-88.0,-24.0,10.0,-20.0,,,
투자활동현금흐름,90.0,6.0,-133.0,-44.0,26.0,,,
재무활동현금흐름,-157.0,287.0,76.0,10.0,5.0,,,
CAPEX,5.0,3.0,55.0,24.0,38.0,,,
FCF,-32.0,-91.0,-80.0,-14.0,-58.0,,,
이자발생부채,88.0,90.0,30.0,,4.0,,,
영업이익률,-22.86,-41.76,-21.97,-6.7,-17.7,,,
순이익률,-76.94,-142.73,-25.38,-2.43,-155.56,,,
ROE(%),-27.93,-34.98,-7.31,-0.73,-52.06,,,
ROA(%),-21.8,-29.28,-6.36,-0.66,-47.31,,,
부채비율,20.56,18.52,11.78,7.78,13.86,,,
자본유보율,273.12,208.48,208.91,214.06,81.82,,,
EPS(원),-608.0,-619.0,-115.0,-12.0,-671.0,,,
PER(배),-6.22,-5.31,-36.63,-442.46,-8.49,,,
BPS(원),1900.0,1584.0,1596.0,1621.0,959.0,,,
PBR(배),1.99,2.07,2.64,3.2,5.94,,,
현금DPS(원),0.0,0.0,0.0,0.0,0.0,,,
현금배당수익률,0.0,0.0,0.0,0.0,0.0,,,
현금배당성향(%),0.0,0.0,0.0,0.0,,,,
발행주식수(보통주),43405320.0,52658692.0,57233723.0,58382610.0,58408110.0,,,
