주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E),2019(E),2020(E)
매출액,1289.0,1250.0,1243.0,1293.0,1369.0,,,
영업이익,12.0,2.0,-18.0,36.0,35.0,,,
영업이익(발표기준),12.0,2.0,-18.0,36.0,35.0,,,
세전계속사업이익,9.0,10.0,-47.0,14.0,3.0,,,
당기순이익,4.0,9.0,-33.0,10.0,1.0,,,
당기순이익(지배),4.0,9.0,-33.0,10.0,1.0,,,
당기순이익(비지배),,,,,,,,
자산총계,1907.0,1941.0,1886.0,1876.0,1912.0,,,
부채총계,814.0,854.0,839.0,826.0,869.0,,,
자본총계,1093.0,1087.0,1047.0,1050.0,1043.0,,,
자본총계(지배),1093.0,1087.0,1047.0,1050.0,1043.0,,,
자본총계(비지배),,,,,,,,
자본금,55.0,55.0,55.0,55.0,55.0,,,
영업활동현금흐름,93.0,-9.0,31.0,70.0,36.0,,,
투자활동현금흐름,-303.0,-1.0,-66.0,-45.0,-21.0,,,
재무활동현금흐름,173.0,34.0,32.0,-23.0,18.0,,,
CAPEX,288.0,180.0,69.0,52.0,22.0,,,
FCF,-195.0,-189.0,-38.0,18.0,14.0,,,
이자발생부채,543.0,589.0,625.0,609.0,634.0,,,
영업이익률,0.9,0.16,-1.43,2.78,2.53,,,
순이익률,0.29,0.71,-2.68,0.78,0.09,,,
ROE(%),0.34,0.81,-3.12,0.96,0.12,,,
ROA(%),0.21,0.46,-1.74,0.54,0.07,,,
부채비율,74.44,78.53,80.07,78.68,83.37,,,
자본유보율,1887.96,1877.16,1804.3,1808.69,1795.68,,,
EPS(원),34.0,80.0,-303.0,92.0,11.0,,,
PER(배),77.3,36.33,-10.91,43.53,287.29,,,
BPS(원),9940.0,9886.0,9522.0,9543.0,9478.0,,,
PBR(배),0.27,0.3,0.35,0.42,0.34,,,
현금DPS(원),75.0,75.0,55.0,75.0,55.0,,,
현금배당수익률,2.85,2.57,1.66,1.88,1.69,,,
현금배당성향(%),220.02,93.32,-18.16,81.62,486.94,,,
발행주식수(보통주),11000000.0,11000000.0,11000000.0,11000000.0,11000000.0,,,
