주요재무정보,2014/03,2015/03,2016/03,2017/03,2017,2018(E),2019(E),2020(E)
매출액,1711.0,1582.0,1583.0,1373.0,947.0,,,
영업이익,44.0,13.0,7.0,-84.0,-131.0,,,
영업이익(발표기준),44.0,13.0,7.0,-84.0,-131.0,,,
세전계속사업이익,71.0,41.0,97.0,-69.0,-150.0,,,
당기순이익,57.0,34.0,64.0,-70.0,-156.0,,,
당기순이익(지배),58.0,28.0,55.0,-82.0,-165.0,,,
당기순이익(비지배),-1.0,6.0,9.0,12.0,9.0,,,
자산총계,6401.0,6231.0,6260.0,6841.0,7199.0,,,
부채총계,2268.0,2502.0,2494.0,3159.0,3703.0,,,
자본총계,4133.0,3728.0,3766.0,3682.0,3497.0,,,
자본총계(지배),4061.0,3650.0,3677.0,3581.0,3389.0,,,
자본총계(비지배),72.0,78.0,88.0,101.0,108.0,,,
자본금,541.0,541.0,541.0,541.0,541.0,,,
영업활동현금흐름,210.0,221.0,61.0,-223.0,-141.0,,,
투자활동현금흐름,-108.0,-144.0,80.0,-406.0,-311.0,,,
재무활동현금흐름,-265.0,-171.0,-132.0,616.0,448.0,,,
CAPEX,99.0,90.0,366.0,810.0,294.0,,,
FCF,110.0,131.0,-305.0,-1033.0,-435.0,,,
이자발생부채,,220.0,427.0,1288.0,1642.0,,,
영업이익률,2.54,0.81,0.41,-6.14,-13.78,,,
순이익률,3.36,2.16,4.02,-5.11,-16.48,,,
ROE(%),,0.72,1.49,-2.26,-4.72,,,
ROA(%),,0.54,1.02,-1.07,-2.22,,,
부채비율,54.87,67.11,66.24,85.8,105.89,,,
자본유보율,590.57,585.03,588.78,567.76,533.58,,,
EPS(원),539.0,256.0,505.0,-756.0,-1521.0,,,
PER(배),37.12,67.1,27.91,-17.32,-7.92,,,
BPS(원),44996.0,47247.0,47597.0,46345.0,43861.0,,,
PBR(배),0.44,0.36,0.3,0.28,0.27,,,
현금DPS(원),600.0,600.0,400.0,250.0,200.0,,,
현금배당수익률,3.0,3.49,2.84,1.91,1.66,,,
현금배당성향(%),92.85,167.05,56.51,-23.59,-9.39,,,
발행주식수(보통주),10821611.0,10821611.0,10821611.0,10821611.0,,,,
