주요재무정보,2014/03(IFRS별도),2015/03,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,1477.0,2118.0,1863.0,2616.0,2698.0,3042.0,3410.0,3791.0
영업이익,47.0,62.0,155.0,232.0,239.0,292.0,352.0,423.0
영업이익(발표기준),47.0,62.0,155.0,232.0,239.0,,,
세전계속사업이익,52.0,-27.0,115.0,162.0,110.0,226.0,292.0,369.0
당기순이익,35.0,-57.0,83.0,120.0,57.0,170.0,216.0,272.0
당기순이익(지배),35.0,-110.0,36.0,59.0,-9.0,115.0,130.0,167.0
당기순이익(비지배),,53.0,47.0,61.0,67.0,,,
자산총계,3940.0,4308.0,4316.0,4313.0,4393.0,4516.0,4751.0,4993.0
부채총계,2145.0,2474.0,2206.0,2139.0,2254.0,2224.0,2256.0,2237.0
자본총계,1795.0,1835.0,2110.0,2174.0,2139.0,2288.0,2494.0,2756.0
자본총계(지배),1795.0,1734.0,1949.0,1996.0,1948.0,2072.0,2229.0,2430.0
자본총계(비지배),,100.0,161.0,177.0,190.0,,,
자본금,459.0,459.0,487.0,487.0,487.0,488.0,488.0,488.0
영업활동현금흐름,-30.0,185.0,218.0,270.0,228.0,272.0,402.0,313.0
투자활동현금흐름,-199.0,-204.0,-219.0,-107.0,-58.0,-70.0,-98.0,-100.0
재무활동현금흐름,203.0,112.0,-51.0,-123.0,-58.0,-94.0,-65.0,-110.0
CAPEX,65.0,139.0,77.0,27.0,38.0,48.0,54.0,61.0
FCF,-95.0,46.0,141.0,243.0,190.0,300.0,290.0,320.0
이자발생부채,1715.0,1910.0,1641.0,1550.0,1544.0,,,
영업이익률,3.2,2.95,8.33,8.86,8.85,9.6,10.31,11.16
순이익률,2.36,-2.67,4.46,4.57,2.13,5.61,6.35,7.16
ROE(%),1.93,,1.96,2.99,-0.47,5.72,6.04,7.17
ROA(%),0.9,,1.93,2.77,1.32,3.83,4.67,5.57
부채비율,119.53,134.83,104.56,98.41,105.39,97.18,90.46,81.15
자본유보율,177.95,162.82,192.89,204.1,197.62,,,
EPS(원),190.0,-598.0,189.0,303.0,-48.0,590.0,667.0,857.0
PER(배),136.83,-56.8,259.28,137.46,-806.73,57.29,50.68,39.45
BPS(원),10280.0,9934.0,10474.0,10727.0,10469.0,11136.0,11977.0,13060.0
PBR(배),2.53,3.42,4.68,3.88,3.68,3.04,2.82,2.59
현금DPS(원),100.0,0.0,0.0,100.0,,50.0,50.0,50.0
현금배당수익률,0.38,0.0,0.0,0.24,,0.15,0.15,0.15
현금배당성향(%),50.41,0.0,0.0,31.7,0.0,0.08,0.07,0.06
발행주식수(보통주),17895256.0,17895256.0,19045984.0,19045984.0,19045984.0,,,
