주요재무정보,2014/06(IFRS별도),2015/06(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017,2018(E),2019(E),2020(E)
매출액,184.0,87.0,137.0,368.0,661.0,,,
영업이익,-262.0,-54.0,7.0,23.0,36.0,,,
영업이익(발표기준),-170.0,-54.0,7.0,23.0,36.0,,,
세전계속사업이익,-352.0,-127.0,12.0,14.0,50.0,,,
당기순이익,-349.0,-124.0,12.0,17.0,59.0,,,
당기순이익(지배),-349.0,-124.0,12.0,17.0,59.0,,,
당기순이익(비지배),,,,,,,,
자산총계,392.0,408.0,485.0,669.0,928.0,,,
부채총계,510.0,312.0,296.0,384.0,546.0,,,
자본총계,-117.0,95.0,189.0,285.0,382.0,,,
자본총계(지배),-117.0,95.0,189.0,285.0,349.0,,,
자본총계(비지배),,,,,33.0,,,
자본금,96.0,206.0,232.0,255.0,255.0,,,
영업활동현금흐름,-176.0,-153.0,-85.0,-181.0,21.0,,,
투자활동현금흐름,-37.0,57.0,-8.0,-14.0,-41.0,,,
재무활동현금흐름,196.0,120.0,84.0,181.0,51.0,,,
CAPEX,4.0,1.0,8.0,14.0,28.0,,,
FCF,-180.0,-154.0,-93.0,-196.0,-8.0,,,
이자발생부채,387.0,182.0,186.0,294.0,442.0,,,
영업이익률,-142.07,-62.63,5.0,6.28,5.51,,,
순이익률,-189.2,-142.79,8.4,4.76,8.89,,,
ROE(%),26804.76,1113.03,8.11,7.38,,,,
ROA(%),-66.98,-30.98,2.58,3.03,,,,
부채비율,-433.99,328.3,155.99,135.1,143.06,,,
자본유보율,-322.18,-90.92,-52.16,-21.21,3.87,,,
EPS(원),-4945.0,-555.0,27.0,35.0,115.0,,,
PER(배),-0.23,-3.21,65.3,44.97,11.42,,,
BPS(원),-1001.0,231.0,409.0,559.0,685.0,,,
PBR(배),-1.13,7.7,4.35,2.84,1.92,,,
현금DPS(원),0.0,0.0,0.0,0.0,0.0,,,
현금배당수익률,0.0,0.0,0.0,0.0,0.0,,,
현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),11804929.0,41258503.0,46359262.0,50980259.0,50980259.0,,,
