주요재무정보,2013,2014,2015,2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,2537.0,2632.0,2826.0,3234.0,3782.0,,,
영업이익,95.0,119.0,95.0,154.0,158.0,,,
영업이익(발표기준),95.0,119.0,95.0,154.0,158.0,,,
세전계속사업이익,66.0,113.0,97.0,114.0,249.0,,,
당기순이익,51.0,93.0,60.0,76.0,194.0,,,
당기순이익(지배),51.0,93.0,60.0,76.0,194.0,,,
당기순이익(비지배),,,,,,,,
자산총계,2764.0,2460.0,2553.0,3229.0,3594.0,,,
부채총계,1200.0,799.0,765.0,1394.0,1498.0,,,
자본총계,1564.0,1662.0,1787.0,1835.0,2095.0,,,
자본총계(지배),1564.0,1662.0,1787.0,1835.0,2095.0,,,
자본총계(비지배),,,,,,,,
자본금,172.0,172.0,172.0,172.0,172.0,,,
영업활동현금흐름,206.0,148.0,110.0,22.0,-22.0,,,
투자활동현금흐름,-134.0,-8.0,-114.0,-603.0,53.0,,,
재무활동현금흐름,-148.0,-436.0,-18.0,580.0,-10.0,,,
CAPEX,40.0,5.0,26.0,13.0,15.0,,,
FCF,166.0,143.0,84.0,9.0,-38.0,,,
이자발생부채,912.0,475.0,454.0,1034.0,1032.0,,,
영업이익률,3.75,4.52,3.36,4.78,4.18,,,
순이익률,2.02,3.54,2.14,2.34,5.12,,,
ROE(%),3.31,5.78,3.5,4.21,9.85,,,
ROA(%),1.81,3.56,2.41,2.63,5.67,,,
부채비율,76.72,48.09,42.82,75.99,71.52,,,
자본유보율,855.83,906.95,939.52,982.12,1091.03,,,
EPS(원),298.0,541.0,351.0,439.0,1124.0,,,
PER(배),15.35,11.81,18.92,16.68,5.5,,,
BPS(원),9083.0,9650.0,10381.0,10656.0,12168.0,,,
PBR(배),0.5,0.66,0.64,0.69,0.51,,,
현금DPS(원),0.0,0.0,0.0,50.0,70.0,,,
현금배당수익률,0.0,0.0,0.0,0.68,1.13,,,
현금배당성향(%),0.0,0.0,0.0,11.39,6.23,,,
발행주식수(보통주),17218543.0,17218543.0,17218543.0,17218543.0,17218543.0,,,
