주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,12099.0,12778.0,10542.0,8869.0,9352.0,,,
영업이익,374.0,382.0,310.0,359.0,378.0,,,
영업이익(발표기준),374.0,382.0,310.0,359.0,378.0,,,
세전계속사업이익,470.0,460.0,498.0,627.0,577.0,,,
당기순이익,368.0,351.0,416.0,497.0,450.0,,,
당기순이익(지배),368.0,351.0,416.0,497.0,450.0,,,
당기순이익(비지배),,,,,,,,
자산총계,7926.0,7527.0,8042.0,8406.0,9085.0,,,
부채총계,3561.0,2931.0,3041.0,2962.0,3276.0,,,
자본총계,4366.0,4596.0,5001.0,5444.0,5809.0,,,
자본총계(지배),4366.0,4596.0,5001.0,5444.0,5809.0,,,
자본총계(비지배),,,,,,,,
자본금,550.0,550.0,550.0,550.0,550.0,,,
영업활동현금흐름,527.0,-363.0,1184.0,462.0,557.0,,,
투자활동현금흐름,-197.0,-309.0,-395.0,-361.0,-110.0,,,
재무활동현금흐름,-97.0,-211.0,-69.0,-50.0,-50.0,,,
CAPEX,240.0,292.0,586.0,504.0,389.0,,,
FCF,287.0,-655.0,598.0,-43.0,168.0,,,
이자발생부채,130.0,18.0,,,,,,
영업이익률,3.09,2.99,2.94,4.05,4.04,,,
순이익률,3.04,2.74,3.94,5.6,4.81,,,
ROE(%),8.69,7.83,8.66,9.52,8.0,,,
ROA(%),4.73,4.54,5.34,6.04,5.15,,,
부채비율,81.56,63.77,60.8,54.41,56.4,,,
자본유보율,731.44,775.29,840.54,922.95,997.16,,,
EPS(원),3346.0,3187.0,3778.0,4517.0,4092.0,,,
PER(배),11.42,10.96,8.35,7.89,8.81,,,
BPS(원),43652.0,45958.0,50005.0,54437.0,58086.0,,,
PBR(배),0.88,0.76,0.63,0.65,0.62,,,
현금DPS(원),1000.0,500.0,500.0,500.0,500.0,,,
현금배당수익률,2.62,1.43,1.58,1.4,1.39,,,
현금배당성향(%),27.17,14.26,12.03,10.06,11.11,,,
발행주식수(보통주),11000000.0,11000000.0,11000000.0,11000000.0,11000000.0,,,
