주요재무정보,2013,2014,2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,2400.0,2973.0,2237.0,1914.0,1562.0,,,
영업이익,165.0,50.0,-123.0,-115.0,67.0,,,
영업이익(발표기준),165.0,50.0,-123.0,-115.0,67.0,,,
세전계속사업이익,122.0,-6.0,-162.0,-143.0,-77.0,,,
당기순이익,96.0,3.0,-151.0,-193.0,-71.0,,,
당기순이익(지배),95.0,3.0,-151.0,-193.0,-71.0,,,
당기순이익(비지배),0.0,0.0,0.0,,,,,
자산총계,2628.0,2957.0,2764.0,2359.0,2047.0,,,
부채총계,1829.0,2177.0,2122.0,1793.0,1289.0,,,
자본총계,800.0,780.0,643.0,567.0,758.0,,,
자본총계(지배),799.0,779.0,643.0,567.0,758.0,,,
자본총계(비지배),1.0,1.0,,,,,,
자본금,274.0,274.0,274.0,354.0,572.0,,,
영업활동현금흐름,177.0,-74.0,-185.0,287.0,-169.0,,,
투자활동현금흐름,23.0,-47.0,81.0,-22.0,-58.0,,,
재무활동현금흐름,-180.0,112.0,125.0,-283.0,227.0,,,
CAPEX,20.0,46.0,35.0,16.0,10.0,,,
FCF,157.0,-120.0,-220.0,271.0,-179.0,,,
이자발생부채,938.0,1053.0,1123.0,720.0,682.0,,,
영업이익률,6.86,1.69,-5.52,-6.01,4.31,,,
순이익률,3.98,0.1,-6.74,-10.09,-4.52,,,
ROE(%),12.73,0.35,-21.96,-31.93,-10.65,,,
ROA(%),3.64,0.1,-5.43,-7.54,-3.2,,,
부채비율,228.74,279.09,330.13,316.45,169.97,,,
자본유보율,193.44,187.17,140.24,64.38,35.08,,,
EPS(원),143.0,4.0,-226.0,-257.0,-79.0,,,
PER(배),10.2,313.22,-4.82,-3.9,-7.86,,,
BPS(원),1199.0,1169.0,965.0,723.0,662.0,,,
PBR(배),1.22,1.1,1.13,1.38,0.94,,,
현금DPS(원),0.0,0.0,0.0,0.0,,,,
현금배당수익률,0.0,0.0,0.0,0.0,,,,
현금배당성향(%),0.0,0.0,0.0,0.0,,,,
발행주식수(보통주),66627590.0,66627590.0,66627590.0,78312393.0,114455154.0,,,
