주요재무정보,2014/03,2015/03,2016/03,2017/03,2018/03,2019/03(E),2020/03(E),2021/03(E)
매출액,4197.0,4087.0,4609.0,4929.0,4289.0,,,
영업이익,170.0,122.0,136.0,172.0,-30.0,,,
영업이익(발표기준),170.0,122.0,136.0,172.0,-30.0,,,
세전계속사업이익,79.0,9.0,18.0,5.0,-89.0,,,
당기순이익,79.0,16.0,3.0,-21.0,-94.0,,,
당기순이익(지배),79.0,16.0,3.0,-21.0,-94.0,,,
당기순이익(비지배),0.0,0.0,0.0,0.0,,,,
자산총계,3593.0,4167.0,4932.0,4928.0,5172.0,,,
부채총계,3070.0,3629.0,4294.0,4339.0,4492.0,,,
자본총계,523.0,537.0,638.0,590.0,680.0,,,
자본총계(지배),523.0,537.0,638.0,590.0,680.0,,,
자본총계(비지배),0.0,0.0,0.0,0.0,,,,
자본금,134.0,146.0,171.0,176.0,234.0,,,
영업활동현금흐름,369.0,545.0,693.0,722.0,814.0,,,
투자활동현금흐름,-298.0,-567.0,-1072.0,-539.0,-420.0,,,
재무활동현금흐름,-38.0,148.0,302.0,-225.0,-307.0,,,
CAPEX,327.0,578.0,1131.0,605.0,495.0,,,
FCF,42.0,-33.0,-438.0,118.0,319.0,,,
이자발생부채,2082.0,2329.0,2748.0,2627.0,2333.0,,,
영업이익률,4.04,2.98,2.95,3.48,-0.71,,,
순이익률,1.88,0.39,0.06,-0.42,-2.2,,,
ROE(%),15.66,3.02,0.46,-3.4,-14.85,,,
ROA(%),2.21,0.41,0.06,-0.42,-1.87,,,
부채비율,586.69,675.62,672.84,735.95,660.77,,,
자본유보율,307.65,305.65,288.1,264.13,210.26,,,
EPS(원),267.0,52.0,8.0,-55.0,-238.0,,,
PER(배),6.38,34.73,331.78,-66.03,-6.08,,,
BPS(원),1777.0,1673.0,1694.0,1528.0,1454.0,,,
PBR(배),0.96,1.08,1.49,2.36,0.99,,,
현금DPS(원),46.0,91.0,91.0,0.0,,,,
현금배당수익률,2.67,5.05,3.6,0.0,,,,
현금배당성향(%),17.01,154.3,1268.73,0.0,,,,
발행주식수(보통주),29453749.0,32117271.0,37685541.0,38600374.0,46754933.0,,,
