주요재무정보,2013(IFRS별도),2014,2015,2016(IFRS별도),2017,2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,222.0,224.0,283.0,139.0,143.0,,,
영업이익,10.0,20.0,5.0,9.0,-5.0,,,
영업이익(발표기준),10.0,20.0,5.0,2.0,-5.0,,,
세전계속사업이익,7.0,30.0,90.0,32.0,-11.0,,,
당기순이익,7.0,39.0,86.0,-62.0,-23.0,,,
당기순이익(지배),7.0,35.0,89.0,-62.0,-22.0,,,
당기순이익(비지배),,4.0,-2.0,,0.0,,,
자산총계,280.0,379.0,423.0,214.0,227.0,,,
부채총계,129.0,151.0,120.0,46.0,62.0,,,
자본총계,151.0,228.0,303.0,168.0,165.0,,,
자본총계(지배),151.0,205.0,303.0,168.0,165.0,,,
자본총계(비지배),,24.0,1.0,,,,,
자본금,79.0,79.0,79.0,79.0,79.0,,,
영업활동현금흐름,0.0,24.0,-15.0,-28.0,-1.0,,,
투자활동현금흐름,-8.0,20.0,75.0,19.0,-6.0,,,
재무활동현금흐름,5.0,-30.0,-89.0,0.0,8.0,,,
CAPEX,0.0,0.0,3.0,2.0,2.0,,,
FCF,0.0,23.0,-18.0,-30.0,-2.0,,,
이자발생부채,68.0,65.0,18.0,18.0,28.0,,,
영업이익률,4.62,8.83,1.69,6.49,-3.47,,,
순이익률,3.09,17.26,30.49,-44.76,-15.86,,,
ROE(%),4.58,,34.9,-26.46,,,,
ROA(%),2.47,,21.51,-19.54,,,,
부채비율,85.82,66.03,39.39,27.64,37.66,,,
자본유보율,84.51,123.09,212.73,136.16,108.22,,,
EPS(원),43.0,219.0,559.0,-393.0,-142.0,,,
PER(배),70.47,14.11,7.42,-7.54,-18.79,,,
BPS(원),1029.0,1373.0,2032.0,1126.0,1041.0,,,
PBR(배),2.96,2.25,2.04,2.63,2.55,,,
현금DPS(원),0.0,30.0,20.0,,,,,
현금배당수익률,0.0,0.97,0.48,,,,,
현금배당성향(%),0.0,12.89,3.37,0.0,,,,
발행주식수(보통주),15832549.0,15832549.0,15832549.0,15832549.0,15832549.0,,,
