주요재무정보,2013,2014(IFRS별도),2015,2016,2017(IFRS별도),2018(E),2019(E),2020(E)
매출액,301.0,71.0,80.0,834.0,1297.0,,,
영업이익,-128.0,-202.0,-107.0,133.0,223.0,,,
영업이익(발표기준),-128.0,-202.0,-107.0,133.0,223.0,,,
세전계속사업이익,-165.0,-89.0,-147.0,99.0,231.0,,,
당기순이익,-175.0,-89.0,-155.0,125.0,274.0,,,
당기순이익(지배),-167.0,-89.0,-155.0,125.0,274.0,,,
당기순이익(비지배),-9.0,,,,,,,
자산총계,853.0,307.0,327.0,1153.0,1528.0,,,
부채총계,819.0,106.0,197.0,289.0,258.0,,,
자본총계,34.0,201.0,130.0,864.0,1270.0,,,
자본총계(지배),37.0,201.0,130.0,864.0,1270.0,,,
자본총계(비지배),-4.0,,,,,,,
자본금,49.0,306.0,62.0,54.0,132.0,,,
영업활동현금흐름,-15.0,-58.0,-162.0,71.0,-206.0,,,
투자활동현금흐름,0.0,98.0,96.0,-731.0,127.0,,,
재무활동현금흐름,19.0,-44.0,137.0,659.0,93.0,,,
CAPEX,2.0,0.0,2.0,127.0,397.0,,,
FCF,-17.0,-58.0,-165.0,-56.0,-603.0,,,
이자발생부채,407.0,10.0,142.0,196.0,180.0,,,
영업이익률,-42.57,-282.08,-134.06,15.99,17.19,,,
순이익률,-58.31,-124.85,-193.43,15.04,21.12,,,
ROE(%),,-74.9,,25.22,25.67,,,
ROA(%),,-15.4,,16.94,20.44,,,
부채비율,2417.36,52.8,150.97,33.44,20.32,,,
자본유보율,-154.35,-41.65,127.03,1490.0,912.0,,,
EPS(원),-44203.0,-10229.0,-1901.0,874.0,1094.0,,,
PER(배),-0.73,-1.9,-3.25,18.25,13.67,,,
BPS(원),8838.0,2486.0,1600.0,4058.0,4852.0,,,
PBR(배),3.66,7.81,3.86,3.93,3.08,,,
현금DPS(원),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
현금배당수익률,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
현금배당성향(%),0.0,0.0,0.0,0.0,,,,
발행주식수(보통주),424142.0,8078232.0,8156687.0,21295992.0,26481470.0,,,
