주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,4917.0,1430.0,1123.0,941.0,863.0,1217.0,1531.0,2082.0
영업이익,-742.0,8.0,-65.0,-66.0,-78.0,17.0,73.0,124.0
영업이익(발표기준),-742.0,8.0,-65.0,-66.0,-78.0,,,
세전계속사업이익,-1747.0,1689.0,-120.0,-21.0,-200.0,97.0,166.0,228.0
당기순이익,-1661.0,1435.0,-90.0,-40.0,-203.0,80.0,101.0,145.0
당기순이익(지배),-1628.0,1433.0,-90.0,-40.0,-201.0,73.0,92.0,132.0
당기순이익(비지배),-33.0,2.0,0.0,1.0,-2.0,,,
자산총계,2238.0,1278.0,975.0,964.0,1018.0,1182.0,1357.0,1632.0
부채총계,3562.0,925.0,478.0,548.0,230.0,314.0,388.0,517.0
자본총계,-1324.0,353.0,497.0,416.0,788.0,868.0,970.0,1115.0
자본총계(지배),-1311.0,350.0,494.0,407.0,781.0,853.0,946.0,1078.0
자본총계(비지배),-13.0,3.0,3.0,9.0,7.0,,,
자본금,208.0,157.0,263.0,264.0,455.0,455.0,455.0,455.0
영업활동현금흐름,-80.0,6.0,2.0,-24.0,-66.0,126.0,140.0,207.0
투자활동현금흐름,-917.0,620.0,361.0,24.0,18.0,-86.0,-76.0,-134.0
재무활동현금흐름,435.0,-524.0,-201.0,84.0,185.0,16.0,14.0,25.0
CAPEX,31.0,3.0,5.0,5.0,1.0,0.0,0.0,0.0
FCF,-111.0,3.0,-3.0,-28.0,-67.0,126.0,140.0,207.0
이자발생부채,2271.0,11.0,,218.0,27.0,,,
영업이익률,-15.1,0.53,-5.78,-7.06,-9.06,1.4,4.77,5.96
순이익률,-33.78,100.32,-7.98,-4.22,-23.58,6.57,6.6,6.96
ROE(%),304.71,-298.27,-21.25,-8.98,-33.91,8.94,10.23,13.04
ROA(%),-57.27,81.61,-7.95,-4.09,-20.52,7.27,7.96,9.7
부채비율,-269.07,261.79,96.23,131.8,29.21,36.18,40.0,46.37
자본유보율,-702.2,92.16,50.3,34.18,60.34,,,
EPS(원),-20639.0,4306.0,-220.0,-77.0,-328.0,77.0,98.0,140.0
PER(배),-0.08,0.13,-6.21,-14.54,-4.81,33.74,26.81,18.69
BPS(원),-17450.0,868.0,938.0,772.0,857.0,904.0,1003.0,1143.0
PBR(배),-0.1,0.65,1.46,1.45,1.84,2.89,2.61,2.29
현금DPS(원),0.0,0.0,0.0,0.0,,0.0,0.0,0.0
현금배당수익률,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
현금배당성향(%),0.0,0.0,0.0,0.0,0.0,,,
발행주식수(보통주),8066761.0,40357767.0,52636187.0,52734346.0,91096176.0,,,
