주요재무정보,2013,2014,2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E),2019(E),2020(E)
매출액,11602.0,12704.0,11826.0,11006.0,11199.0,11593.0,11684.0,11816.0
영업이익,1158.0,1021.0,1050.0,429.0,729.0,594.0,721.0,747.0
영업이익(발표기준),1158.0,1021.0,1050.0,429.0,729.0,,,
세전계속사업이익,974.0,356.0,760.0,260.0,412.0,362.0,499.0,524.0
당기순이익,770.0,257.0,597.0,215.0,289.0,281.0,384.0,402.0
당기순이익(지배),770.0,257.0,598.0,215.0,289.0,281.0,384.0,402.0
당기순이익(비지배),-1.0,-1.0,-1.0,,,,,
자산총계,20805.0,21704.0,20003.0,18402.0,18682.0,19357.0,19682.0,19985.0
부채총계,11960.0,12669.0,10491.0,8735.0,8810.0,9191.0,9212.0,9200.0
자본총계,8845.0,9036.0,9512.0,9667.0,9871.0,10164.0,10468.0,10787.0
자본총계(지배),8840.0,9025.0,9512.0,9667.0,9871.0,10164.0,10468.0,10787.0
자본총계(비지배),5.0,11.0,,,,,,
자본금,1936.0,1936.0,1936.0,1936.0,1936.0,1938.0,1938.0,1938.0
영업활동현금흐름,1697.0,3687.0,3682.0,2758.0,2813.0,3094.0,3084.0,3014.0
투자활동현금흐름,-5764.0,-3815.0,-1606.0,-1604.0,-2741.0,-2961.0,-2942.0,-2661.0
재무활동현금흐름,4288.0,488.0,-1877.0,-1716.0,-19.0,208.0,-76.0,-123.0
CAPEX,2314.0,2266.0,1250.0,1162.0,1712.0,1758.0,1684.0,1662.0
FCF,-617.0,1422.0,2433.0,1596.0,1100.0,774.0,1013.0,1298.0
이자발생부채,9327.0,10034.0,8254.0,6601.0,6630.0,,,
영업이익률,9.98,8.04,8.88,3.9,6.51,5.13,6.17,6.32
순이익률,6.63,2.02,5.05,1.96,2.58,2.42,3.29,3.4
ROE(%),9.58,2.88,6.35,2.24,2.96,,3.72,3.78
ROA(%),4.23,1.21,2.93,1.12,1.56,,1.97,2.03
부채비율,135.21,140.21,110.29,90.37,89.25,90.43,88.0,85.29
자본유보율,356.97,367.03,391.58,399.27,409.83,,,
EPS(원),994.0,332.0,771.0,278.0,373.0,362.0,496.0,519.0
PER(배),19.31,29.34,16.42,33.73,19.04,23.63,17.26,16.48
BPS(원),11415.0,11653.0,12282.0,12482.0,12746.0,13124.0,13517.0,13928.0
PBR(배),1.68,0.84,1.03,0.75,0.56,0.65,0.63,0.61
현금DPS(원),75.0,75.0,75.0,75.0,75.0,79.0,86.0,96.0
현금배당수익률,0.39,0.77,0.59,0.8,1.06,0.92,1.01,1.13
현금배당성향(%),7.54,22.6,9.73,27.0,20.11,0.22,0.17,0.19
발행주식수(보통주),77446865.0,77446865.0,77446865.0,77446865.0,77446865.0,,,
