주요재무정보,2013,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,145848.0,155616.0,154436.0,128192.0,111018.0,92642.0,78479.0,74826.0
영업이익,-10100.0,-5651.0,-21245.0,-15308.0,7330.0,7450.0,5033.0,4931.0
영업이익(발표기준),4409.0,-7378.0,-29372.0,-15308.0,7330.0,,,
세전계속사업이익,-11241.0,-10113.0,-31244.0,-19617.0,11890.0,4626.0,3249.0,3842.0
당기순이익,-9204.0,-8527.0,-22092.0,-27895.0,6458.0,3906.0,2402.0,3178.0
당기순이익(지배),-8933.0,-7736.0,-20975.0,-27341.0,6215.0,3432.0,2508.0,2914.0
당기순이익(비지배),-271.0,-791.0,-1117.0,-553.0,243.0,,,
자산총계,167764.0,177358.0,188803.0,150648.0,114468.0,110391.0,108635.0,108560.0
부채총계,138477.0,157090.0,182615.0,144055.0,84561.0,73601.0,69158.0,65964.0
자본총계,29287.0,20268.0,6189.0,6594.0,29907.0,36791.0,39476.0,42596.0
자본총계(지배),30774.0,22364.0,9291.0,10269.0,33934.0,40338.0,42991.0,46074.0
자본총계(비지배),-1487.0,-2096.0,-3102.0,-3675.0,-4028.0,,,
자본금,9620.0,9620.0,13721.0,3329.0,5383.0,5637.0,5637.0,5637.0
영업활동현금흐름,-11979.0,-5602.0,-8430.0,-5310.0,-10199.0,5773.0,7964.0,6268.0
투자활동현금흐름,-1570.0,-1992.0,1721.0,-2827.0,227.0,-618.0,180.0,126.0
재무활동현금흐름,14625.0,5207.0,17729.0,-2009.0,9879.0,-1273.0,-1964.0,-1939.0
CAPEX,2690.0,3916.0,1820.0,1198.0,1088.0,866.0,730.0,745.0
FCF,-14669.0,-9518.0,-10250.0,-6508.0,-11287.0,1621.0,6324.0,5690.0
이자발생부채,68704.0,76490.0,92542.0,66415.0,37544.0,,,
영업이익률,-6.93,-3.63,-13.76,-11.94,6.6,8.04,6.41,6.59
순이익률,-6.31,-5.48,-14.31,-21.76,5.82,4.22,3.06,4.25
ROE(%),-25.3,-29.12,-132.52,-279.57,28.12,9.24,6.02,6.54
ROA(%),-5.7,-4.94,-12.07,-16.43,4.87,3.47,2.19,2.93
부채비율,472.82,775.06,2950.77,2184.71,282.75,200.05,175.19,154.86
자본유보율,215.96,133.34,-62.48,-216.63,-6.98,,,
EPS(원),-59855.0,-51837.0,-139078.0,-126098.0,7447.0,3205.0,2340.0,2718.0
PER(배),-5.85,-3.6,-0.36,-0.36,1.87,8.88,12.16,10.47
BPS(원),208763.0,151715.0,43577.0,15663.0,31821.0,37633.0,40107.0,42984.0
PBR(배),1.68,1.23,1.16,2.86,0.44,0.76,0.71,0.66
현금DPS(원),3847.0,1924.0,0.0,0.0,,34.0,64.0,46.0
현금배당수익률,1.1,1.03,0.0,0.0,,0.12,0.23,0.16
현금배당성향(%),-6.35,-3.67,0.0,0.0,0.0,0.01,0.03,0.02
발행주식수(보통주),14923872.0,14923872.0,21319818.0,65576960.0,106656288.0,,,
