주요재무정보,2013,2014(IFRS별도),2015,2016,2017,2018(E),2019(E),2020(E)
매출액,1916.0,1923.0,1178.0,1663.0,1973.0,2482.0,3087.0,3540.0
영업이익,135.0,491.0,227.0,386.0,517.0,640.0,862.0,990.0
영업이익(발표기준),135.0,491.0,227.0,386.0,517.0,,,
세전계속사업이익,137.0,330.0,281.0,411.0,145.0,695.0,859.0,989.0
당기순이익,112.0,230.0,218.0,314.0,95.0,538.0,664.0,765.0
당기순이익(지배),112.0,230.0,218.0,314.0,95.0,538.0,664.0,765.0
당기순이익(비지배),0.0,,,,,,,
자산총계,2407.0,2438.0,2256.0,2850.0,2851.0,3450.0,4210.0,4962.0
부채총계,580.0,433.0,316.0,756.0,789.0,902.0,1171.0,1331.0
자본총계,1827.0,2005.0,1940.0,2093.0,2062.0,2548.0,3039.0,3631.0
자본총계(지배),1811.0,2005.0,1940.0,2093.0,2062.0,2548.0,3039.0,3631.0
자본총계(비지배),16.0,,,,,,,
자본금,127.0,127.0,127.0,127.0,127.0,127.0,127.0,127.0
영업활동현금흐름,122.0,308.0,357.0,381.0,360.0,453.0,593.0,764.0
투자활동현금흐름,136.0,-27.0,-28.0,-304.0,167.0,-261.0,-161.0,-130.0
재무활동현금흐름,55.0,-340.0,-333.0,225.0,-452.0,-72.0,-54.0,-90.0
CAPEX,187.0,19.0,34.0,92.0,99.0,156.0,100.0,100.0
FCF,-65.0,289.0,323.0,289.0,261.0,415.0,478.0,657.0
이자발생부채,199.0,,,281.0,148.0,,,
영업이익률,7.03,25.52,19.31,23.19,26.18,25.79,27.92,27.97
순이익률,5.82,11.96,18.51,18.91,4.81,21.68,21.51,21.61
ROE(%),6.16,11.98,,15.59,4.57,23.34,23.77,22.94
ROA(%),4.73,9.65,,12.32,3.33,17.08,17.34,16.68
부채비율,31.75,21.6,16.29,36.13,38.26,35.4,38.53,36.66
자본유보율,1413.87,1586.45,1699.71,1860.12,1990.54,,,
EPS(원),176.0,362.0,343.0,495.0,149.0,879.0,1160.0,1337.0
PER(배),25.52,17.91,14.58,12.5,79.31,13.87,10.51,9.13
BPS(원),3077.0,3352.0,3552.0,3875.0,3924.0,5067.0,6044.0,7221.0
PBR(배),1.46,1.93,1.41,1.59,3.02,2.41,2.02,1.69
현금DPS(원),200.0,200.0,200.0,200.0,240.0,350.0,350.0,350.0
현금배당수익률,4.46,3.09,4.0,3.24,2.03,2.87,2.87,2.87
현금배당성향(%),105.49,51.98,50.29,34.36,133.07,0.37,0.3,0.26
발행주식수(보통주),63582102.0,63582102.0,63582102.0,63582102.0,63582100.0,,,
