주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016,2017,2018(E),2019(E),2020(E)
매출액,,,,497.0,609.0,,,
영업이익,,,,4.0,-68.0,,,
영업이익(발표기준),,,,4.0,-68.0,,,
세전계속사업이익,,,,9.0,-61.0,,,
당기순이익,,,,9.0,-62.0,,,
당기순이익(지배),,,,9.0,-56.0,,,
당기순이익(비지배),,,,,-6.0,,,
자산총계,,,,505.0,551.0,,,
부채총계,,,,176.0,65.0,,,
자본총계,,,,329.0,485.0,,,
자본총계(지배),,,,328.0,474.0,,,
자본총계(비지배),,,,1.0,11.0,,,
자본금,,,,58.0,99.0,,,
영업활동현금흐름,,,,-29.0,-79.0,,,
투자활동현금흐름,,,,-253.0,41.0,,,
재무활동현금흐름,,,,230.0,127.0,,,
CAPEX,,,,3.0,50.0,,,
FCF,,,,-32.0,-128.0,,,
이자발생부채,,,,109.0,,,,
영업이익률,,,,0.75,-11.12,,,
순이익률,,,,1.84,-10.15,,,
ROE(%),,,,,-13.9,,,
ROA(%),,,,,-11.72,,,
부채비율,,,,53.33,13.45,,,
자본유보율,,,,510.35,409.36,,,
EPS(원),-27.0,-23.0,-113.0,16.0,-82.0,,,
PER(배),-15.57,-18.21,-7.79,69.08,-6.4,,,
BPS(원),610.0,582.0,460.0,549.0,500.0,,,
PBR(배),0.7,0.73,1.91,2.05,1.05,,,
현금DPS(원),0.0,0.0,0.0,0.0,,,,
현금배당수익률,0.0,0.0,0.0,0.0,,,,
현금배당성향(%),,,,0.0,,,,
발행주식수(보통주),46962890.0,46962890.0,46962890.0,63578899.0,,,,
