주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017,2018(E),2019(E),2020(E)
매출액,1737.0,1908.0,1329.0,1489.0,2117.0,,,
영업이익,0.0,31.0,-72.0,71.0,110.0,,,
영업이익(발표기준),0.0,31.0,-72.0,71.0,110.0,,,
세전계속사업이익,-27.0,-6.0,-98.0,51.0,88.0,,,
당기순이익,-25.0,-5.0,-85.0,39.0,84.0,,,
당기순이익(지배),-25.0,-5.0,-85.0,39.0,84.0,,,
당기순이익(비지배),,,,,,,,
자산총계,2495.0,2486.0,2272.0,2430.0,2453.0,,,
부채총계,1173.0,1173.0,1051.0,1170.0,1092.0,,,
자본총계,1321.0,1313.0,1221.0,1259.0,1361.0,,,
자본총계(지배),1321.0,1313.0,1221.0,1259.0,1361.0,,,
자본총계(비지배),,,,,,,,
자본금,100.0,100.0,100.0,100.0,100.0,,,
영업활동현금흐름,52.0,59.0,136.0,65.0,-18.0,,,
투자활동현금흐름,-105.0,-15.0,-28.0,-134.0,78.0,,,
재무활동현금흐름,18.0,-58.0,-34.0,84.0,-26.0,,,
CAPEX,8.0,13.0,50.0,148.0,18.0,,,
FCF,44.0,46.0,86.0,-83.0,-36.0,,,
이자발생부채,776.0,724.0,695.0,779.0,757.0,,,
영업이익률,0.01,1.61,-5.39,4.75,5.17,,,
순이익률,-1.44,-0.25,-6.38,2.62,3.95,,,
ROE(%),-1.87,-0.36,-6.69,3.14,,,,
ROA(%),-1.0,-0.19,-3.56,1.66,,,,
부채비율,88.8,89.36,86.08,92.91,80.24,,,
자본유보율,1212.8,1202.89,1114.54,1152.78,1255.55,,,
EPS(원),-1252.0,-239.0,-4237.0,1949.0,4185.0,,,
PER(배),-14.74,-66.22,-4.52,10.77,5.35,,,
BPS(원),66093.0,65675.0,61069.0,62999.0,68084.0,,,
PBR(배),0.28,0.24,0.31,0.33,0.33,,,
현금DPS(원),100.0,150.0,0.0,150.0,350.0,,,
현금배당수익률,0.54,0.95,0.0,0.71,1.56,,,
현금배당성향(%),-7.99,-62.65,0.0,7.69,8.36,,,
발행주식수(보통주),1999944.0,1999944.0,1999944.0,1999944.0,1999944.0,,,
