주요재무정보,2013(GAAP개별),2014(IFRS별도),2015(IFRS별도),2016,2017,2018(E),2019(E),2020(E)
매출액,4323.0,5106.0,6081.0,7476.0,9964.0,12421.0,14713.0,16945.0
영업이익,152.0,295.0,514.0,584.0,1013.0,1291.0,1538.0,1788.0
영업이익(발표기준),152.0,295.0,514.0,584.0,1013.0,,,
세전계속사업이익,194.0,320.0,530.0,688.0,1012.0,1365.0,1574.0,1814.0
당기순이익,194.0,320.0,472.0,530.0,778.0,1048.0,1204.0,1386.0
당기순이익(지배),194.0,320.0,472.0,530.0,778.0,1047.0,1200.0,1380.0
당기순이익(비지배),,,,,,,,
자산총계,1596.0,2637.0,4777.0,6003.0,8004.0,9689.0,11186.0,12885.0
부채총계,1070.0,1836.0,2459.0,3284.0,4690.0,5552.0,6034.0,6552.0
자본총계,526.0,801.0,2318.0,2719.0,3314.0,4135.0,5153.0,6334.0
자본총계(지배),526.0,801.0,2318.0,2719.0,3314.0,4119.0,5138.0,6316.0
자본총계(비지배),,,,,,,,
자본금,1100.0,1100.0,1295.0,1315.0,1318.0,1320.0,1320.0,1320.0
영업활동현금흐름,474.0,603.0,721.0,1102.0,1446.0,1572.0,1915.0,2228.0
투자활동현금흐름,-497.0,-46.0,-1520.0,-618.0,-2234.0,-1754.0,-1537.0,-1689.0
재무활동현금흐름,-68.0,,1274.0,-73.0,202.0,233.0,-127.0,-119.0
CAPEX,140.0,39.0,406.0,304.0,1332.0,1228.0,1062.0,1179.0
FCF,334.0,564.0,315.0,798.0,114.0,328.0,812.0,1057.0
이자발생부채,,,197.0,203.0,545.0,,,
영업이익률,3.51,5.78,8.46,7.81,10.17,10.39,10.46,10.55
순이익률,4.48,6.27,7.75,7.09,7.81,8.43,8.18,8.18
ROE(%),45.14,48.23,30.24,,25.79,28.18,25.91,24.09
ROA(%),13.74,15.12,12.72,,11.11,11.84,11.54,11.52
부채비율,203.32,229.23,106.08,120.76,141.51,134.28,117.1,103.44
자본유보율,-51.69,-27.0,78.42,106.75,155.2,,,
EPS(원),881.0,1454.0,2053.0,2038.0,2954.0,3974.0,4551.0,5234.0
PER(배),0.0,,19.53,12.31,11.97,9.84,8.59,7.47
BPS(원),2391.0,3639.0,8948.0,10342.0,12643.0,15663.0,19537.0,24016.0
PBR(배),0.0,0.0,4.48,2.43,2.8,2.5,2.0,1.63
현금DPS(원),0.0,0.0,400.0,500.0,600.0,715.0,808.0,876.0
현금배당수익률,,,1.0,1.99,1.7,1.83,2.07,2.24
현금배당성향(%),0.0,0.0,21.97,24.82,20.22,0.18,0.18,0.17
발행주식수(보통주),22006758.0,22006758.0,25906758.0,26294258.0,26356758.0,,,
