주요재무정보,2013(GAAP개별),2014(GAAP개별),2015,2016,2017,2018(E),2019(E),2020(E)
매출액,2174.0,2291.0,2778.0,2980.0,2942.0,,,
영업이익,78.0,68.0,134.0,155.0,190.0,,,
영업이익(발표기준),78.0,68.0,134.0,155.0,190.0,,,
세전계속사업이익,70.0,75.0,93.0,119.0,137.0,,,
당기순이익,66.0,56.0,66.0,92.0,94.0,,,
당기순이익(지배),66.0,56.0,66.0,92.0,92.0,,,
당기순이익(비지배),,,0.0,1.0,2.0,,,
자산총계,1467.0,1692.0,2475.0,2851.0,2986.0,,,
부채총계,1151.0,1263.0,1968.0,2237.0,2123.0,,,
자본총계,317.0,429.0,507.0,615.0,863.0,,,
자본총계(지배),317.0,429.0,505.0,601.0,847.0,,,
자본총계(비지배),,,2.0,13.0,15.0,,,
자본금,49.0,49.0,49.0,49.0,66.0,,,
영업활동현금흐름,61.0,79.0,116.0,44.0,181.0,,,
투자활동현금흐름,-105.0,-100.0,-371.0,-256.0,-265.0,,,
재무활동현금흐름,35.0,20.0,295.0,214.0,105.0,,,
CAPEX,84.0,116.0,408.0,308.0,160.0,,,
FCF,-24.0,-37.0,-292.0,-265.0,21.0,,,
이자발생부채,624.0,668.0,1179.0,1463.0,1369.0,,,
영업이익률,3.58,2.99,4.81,5.21,6.47,,,
순이익률,3.03,2.44,2.39,3.09,3.2,,,
ROE(%),23.3,15.02,14.23,16.56,12.68,,,
ROA(%),4.6,3.54,3.01,3.46,3.22,,,
부채비율,363.35,294.43,388.43,363.9,245.97,,,
자본유보율,339.65,453.11,891.9,1079.92,1248.19,,,
EPS(원),668.0,567.0,673.0,928.0,905.0,,,
PER(배),,,,,4.53,,,
BPS(원),3209.0,4348.0,5113.0,6094.0,6436.0,,,
PBR(배),0.0,0.0,0.0,0.0,0.64,,,
현금DPS(원),0.0,0.0,0.0,0.0,100.0,,,
현금배당수익률,,,,,2.44,,,
현금배당성향(%),0.0,0.0,0.0,0.0,14.33,,,
발행주식수(보통주),9868460.0,9868460.0,9868460.0,9868460.0,13168460.0,,,
