주요재무정보,2013(IFRS별도),2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,3471.0,3925.0,4064.0,4411.0,4768.0,4809.0,4955.0,5135.0
영업이익,695.0,916.0,899.0,790.0,800.0,771.0,768.0,794.0
영업이익(발표기준),695.0,916.0,899.0,790.0,800.0,,,
세전계속사업이익,732.0,938.0,928.0,733.0,812.0,732.0,743.0,779.0
당기순이익,546.0,710.0,677.0,503.0,552.0,535.0,542.0,566.0
당기순이익(지배),546.0,710.0,677.0,503.0,552.0,570.0,545.0,553.0
당기순이익(비지배),,,,,,,,
자산총계,3366.0,4153.0,4498.0,8087.0,7686.0,8070.0,8220.0,8500.0
부채총계,1092.0,1457.0,1161.0,4301.0,3517.0,3402.0,3073.0,2865.0
자본총계,2274.0,2696.0,3338.0,3786.0,4169.0,4670.0,5147.0,5631.0
자본총계(지배),2274.0,2696.0,3338.0,3786.0,4169.0,4670.0,5147.0,5631.0
자본총계(비지배),,,,,,,,
자본금,168.0,168.0,168.0,168.0,168.0,168.0,168.0,168.0
영업활동현금흐름,838.0,1197.0,435.0,653.0,606.0,570.0,600.0,680.0
투자활동현금흐름,-616.0,-650.0,136.0,-4858.0,-15.0,-320.0,-270.0,-290.0
재무활동현금흐름,-227.0,-261.0,-47.0,3087.0,-1038.0,-120.0,-320.0,-320.0
CAPEX,324.0,231.0,225.0,4879.0,157.0,190.0,190.0,200.0
FCF,514.0,966.0,211.0,-4226.0,448.0,,,
이자발생부채,,12.0,,3095.0,2226.0,,,
영업이익률,20.03,23.34,22.11,17.91,16.78,16.03,15.5,15.46
순이익률,15.73,18.08,16.65,11.4,11.57,11.12,10.95,11.03
ROE(%),26.02,,22.43,14.12,13.88,12.89,11.1,10.26
ROA(%),17.47,,15.65,7.99,7.0,6.79,6.66,6.77
부채비율,48.04,54.04,34.77,113.61,84.37,72.85,59.71,50.88
자본유보율,1242.91,1490.69,1867.86,2164.07,2450.24,,,
EPS(원),1621.0,2106.0,2008.0,1493.0,1638.0,1691.0,1617.0,1640.0
PER(배),,,9.24,10.28,9.95,7.33,7.67,7.56
BPS(원),6749.0,8002.0,9907.0,11237.0,12604.0,14117.0,15558.0,17021.0
PBR(배),0.0,0.0,1.87,1.37,1.29,0.88,0.8,0.73
현금DPS(원),1398.0,100.0,0.0,200.0,200.0,200.0,200.0,200.0
현금배당수익률,,,0.0,1.3,1.23,1.61,1.61,1.61
현금배당성향(%),86.24,4.75,0.0,13.39,11.99,0.12,0.12,0.12
발행주식수(보통주),33696000.0,33696000.0,33696000.0,33696000.0,33696000.0,,,
