주요재무정보,2016/04(IFRS별도),2016/10(IFRS별도),2017/04(IFRS별도),2017/10(IFRS별도),2018/04(IFRS별도),2019/04(E)(IFRS별도),2020/04(E)(IFRS별도),2021/04(E)(IFRS별도)
매출액,26.0,30.0,30.0,32.0,29.0,,,
영업이익,9.0,12.0,12.0,14.0,9.0,,,
영업이익(발표기준),9.0,12.0,12.0,14.0,9.0,,,
세전계속사업이익,-5.0,-1.0,1.0,3.0,-2.0,,,
당기순이익,-5.0,-1.0,1.0,3.0,-2.0,,,
당기순이익(지배),-5.0,-1.0,1.0,3.0,-2.0,,,
당기순이익(비지배),,,,,,,,
자산총계,1029.0,1017.0,1023.0,1026.0,1025.0,,,
부채총계,599.0,588.0,593.0,594.0,595.0,,,
자본총계,430.0,428.0,429.0,432.0,430.0,,,
자본총계(지배),430.0,428.0,429.0,432.0,430.0,,,
자본총계(비지배),,,,,,,,
자본금,484.0,484.0,484.0,484.0,484.0,,,
영업활동현금흐름,9.0,10.0,10.0,11.0,7.0,,,
투자활동현금흐름,7.0,0.0,-2.0,0.0,-1.0,,,
재무활동현금흐름,-5.0,-17.0,,,,,,
CAPEX,,0.0,1.0,0.0,1.0,,,
FCF,9.0,10.0,8.0,11.0,6.0,,,
이자발생부채,562.0,546.0,547.0,549.0,550.0,,,
영업이익률,35.91,40.22,40.59,42.54,30.72,,,
순이익률,-20.39,-4.17,3.42,7.83,-6.02,,,
ROE(%),-1.23,-0.3,0.24,0.59,-0.41,,,
ROA(%),-0.52,-0.12,0.1,0.25,-0.17,,,
부채비율,139.37,137.34,138.14,137.56,138.29,,,
자본유보율,-11.27,-11.53,-11.32,-10.8,-11.16,,,
EPS(원),-55.0,-13.0,11.0,26.0,-18.0,,,
PER(배),-59.87,-261.64,312.68,121.88,-165.64,,,
BPS(원),4436.0,4423.0,4434.0,4460.0,4442.0,,,
PBR(배),0.74,0.77,0.76,0.72,0.68,,,
현금DPS(원),0.0,,,,,,,
현금배당수익률,0.0,,,,,,,
현금배당성향(%),0.0,0.0,0.0,0.0,,,,
발행주식수(보통주),,9686000.0,,9686000.0,,,,
