주요재무정보,2013(IFRS별도),2014,2015,2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,79.0,95.0,114.0,91.0,86.0,,,
영업이익,49.0,67.0,82.0,53.0,50.0,,,
영업이익(발표기준),54.0,67.0,82.0,53.0,50.0,,,
세전계속사업이익,45.0,48.0,57.0,34.0,32.0,,,
당기순이익,36.0,37.0,45.0,27.0,25.0,,,
당기순이익(지배),36.0,37.0,45.0,27.0,25.0,,,
당기순이익(비지배),,,,,,,,
자산총계,882.0,1084.0,1228.0,1351.0,1490.0,,,
부채총계,486.0,683.0,794.0,771.0,875.0,,,
자본총계,396.0,401.0,434.0,580.0,616.0,,,
자본총계(지배),396.0,401.0,434.0,580.0,616.0,,,
자본총계(비지배),,,,,,,,
자본금,271.0,271.0,276.0,406.0,433.0,,,
영업활동현금흐름,53.0,-220.0,-133.0,15.0,-98.0,,,
투자활동현금흐름,-361.0,94.0,25.0,-3.0,-2.0,,,
재무활동현금흐름,295.0,150.0,87.0,107.0,97.0,,,
CAPEX,1.0,7.0,0.0,4.0,0.0,,,
FCF,52.0,-226.0,-134.0,12.0,-98.0,,,
이자발생부채,324.0,509.0,611.0,599.0,685.0,,,
영업이익률,62.25,70.75,71.98,58.2,58.03,,,
순이익률,45.42,39.27,39.35,29.35,28.95,,,
ROE(%),10.79,,10.72,5.29,4.15,,,
ROA(%),5.79,,3.87,2.08,1.75,,,
부채비율,122.8,170.33,182.85,133.03,142.07,,,
자본유보율,46.12,47.74,56.81,42.19,41.57,,,
EPS(원),124.0,129.0,154.0,73.0,58.0,,,
PER(배),6.59,6.8,7.27,34.16,17.05,,,
BPS(원),1364.0,1382.0,1468.0,1372.0,1392.0,,,
PBR(배),0.6,0.63,0.76,1.82,0.71,,,
현금DPS(원),112.0,60.0,28.0,19.0,20.0,,,
현금배당수익률,13.68,6.83,2.5,0.77,2.0,,,
현금배당성향(%),90.12,46.44,18.5,30.3,34.96,,,
발행주식수(보통주),29036361.0,29036361.0,29571988.0,42260637.0,44212673.0,,,
