주요재무정보,2013(IFRS별도),2014(IFRS별도),2015(IFRS별도),2016,2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,3900.0,4297.0,4371.0,4402.0,4721.0,,,
영업이익,222.0,269.0,359.0,470.0,525.0,,,
영업이익(발표기준),240.0,269.0,359.0,470.0,525.0,,,
세전계속사업이익,256.0,329.0,435.0,556.0,618.0,,,
당기순이익,182.0,255.0,334.0,422.0,448.0,,,
당기순이익(지배),182.0,255.0,334.0,422.0,448.0,,,
당기순이익(비지배),,,,,,,,
자산총계,3612.0,3740.0,3918.0,4839.0,5238.0,,,
부채총계,1497.0,1575.0,1539.0,2046.0,2056.0,,,
자본총계,2114.0,2166.0,2379.0,2793.0,3182.0,,,
자본총계(지배),2114.0,2166.0,2379.0,2793.0,3182.0,,,
자본총계(비지배),,,,,,,,
자본금,1000.0,1000.0,1000.0,1000.0,1000.0,,,
영업활동현금흐름,709.0,545.0,613.0,453.0,1027.0,,,
투자활동현금흐름,-198.0,-282.0,-260.0,-807.0,-1128.0,,,
재무활동현금흐름,-495.0,-264.0,-290.0,459.0,100.0,,,
CAPEX,113.0,282.0,280.0,84.0,191.0,,,
FCF,596.0,263.0,333.0,368.0,836.0,,,
이자발생부채,345.0,281.0,141.0,620.0,800.0,,,
영업이익률,5.7,6.27,8.2,10.67,11.12,,,
순이익률,4.67,5.93,7.63,9.59,9.48,,,
ROE(%),8.58,11.91,14.69,,14.98,,,
ROA(%),5.05,6.93,8.72,,8.88,,,
부채비율,70.82,72.71,64.69,73.25,64.62,,,
자본유보율,111.44,116.56,137.9,179.29,218.2,,,
EPS(원),911.0,1274.0,1669.0,2110.0,2238.0,,,
PER(배),,,9.35,7.58,7.51,,,
BPS(원),10572.0,10828.0,11895.0,13964.0,15910.0,,,
PBR(배),0.0,0.0,1.31,1.15,1.06,,,
현금DPS(원),1000.0,500.0,350.0,400.0,700.0,,,
현금배당수익률,,,2.24,2.5,4.17,,,
현금배당성향(%),109.81,39.25,20.98,18.96,31.28,,,
발행주식수(보통주),20000000.0,20000000.0,20000000.0,20000000.0,20000000.0,,,
