주요재무정보,2013(GAAP개별),2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,1032.0,1620.0,2403.0,1885.0,2363.0,2410.0,3009.0,3555.0
영업이익,94.0,214.0,216.0,124.0,152.0,152.0,294.0,442.0
영업이익(발표기준),94.0,214.0,216.0,124.0,152.0,,,
세전계속사업이익,112.0,245.0,263.0,142.0,65.0,196.0,347.0,480.0
당기순이익,96.0,191.0,196.0,105.0,58.0,150.0,268.0,370.0
당기순이익(지배),96.0,189.0,196.0,105.0,58.0,123.0,268.0,372.0
당기순이익(비지배),,2.0,0.0,0.0,0.0,,,
자산총계,506.0,1245.0,1590.0,1988.0,1905.0,2008.0,2239.0,2584.0
부채총계,76.0,683.0,604.0,434.0,340.0,341.0,347.0,361.0
자본총계,430.0,562.0,986.0,1554.0,1564.0,1667.0,1892.0,2224.0
자본총계(지배),430.0,550.0,985.0,1552.0,1563.0,1666.0,1893.0,2226.0
자본총계(비지배),,12.0,2.0,2.0,1.0,,,
자본금,8.0,11.0,12.0,13.0,13.0,13.0,13.0,13.0
영업활동현금흐름,70.0,166.0,180.0,-64.0,-4.0,173.0,299.0,416.0
투자활동현금흐름,-33.0,-44.0,-71.0,-559.0,113.0,-136.0,-39.0,-41.0
재무활동현금흐름,2.0,-31.0,229.0,332.0,-44.0,-51.0,-51.0,-51.0
CAPEX,10.0,10.0,50.0,115.0,82.0,35.0,35.0,38.0
FCF,60.0,155.0,130.0,-179.0,-86.0,138.0,264.0,378.0
이자발생부채,,279.0,311.0,129.0,83.0,,,
영업이익률,9.13,13.23,8.98,6.58,6.41,6.31,9.76,12.43
순이익률,9.29,11.77,8.15,5.58,2.44,6.22,8.91,10.42
ROE(%),24.93,41.53,25.56,8.31,3.71,7.64,15.09,18.04
ROA(%),20.54,21.2,13.83,5.88,2.96,7.67,12.62,15.36
부채비율,17.67,121.53,61.18,27.96,21.76,20.46,18.34,16.23
자본유보율,5334.82,4711.96,8077.93,11957.56,12136.99,,,
EPS(원),1190.0,2167.0,1653.0,796.0,434.0,925.0,2013.0,2786.0
PER(배),,,,20.74,29.51,16.22,7.45,5.38
BPS(원),5331.0,4922.0,7990.0,11979.0,12161.0,13095.0,14879.0,17496.0
PBR(배),0.0,0.0,0.0,1.38,1.05,1.15,1.01,0.86
현금DPS(원),124.0,0.0,250.0,250.0,300.0,400.0,400.0,400.0
현금배당수익률,,,,1.52,2.34,2.67,2.67,2.67
현금배당성향(%),10.44,0.0,13.52,30.82,66.67,0.43,0.2,0.14
발행주식수(보통주),8059150.0,11170150.0,11877100.0,13157051.0,13335601.0,,,
