주요재무정보,Unnamed: 1,2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,,9.0,30.0,47.0,42.0,,,
영업이익,,-4.0,10.0,23.0,18.0,,,
영업이익(발표기준),,-4.0,10.0,23.0,18.0,,,
세전계속사업이익,,-9.0,0.0,11.0,7.0,,,
당기순이익,,-7.0,0.0,9.0,6.0,,,
당기순이익(지배),,-7.0,0.0,9.0,6.0,,,
당기순이익(비지배),,,,,,,,
자산총계,,531.0,608.0,853.0,801.0,,,
부채총계,,342.0,332.0,433.0,384.0,,,
자본총계,,188.0,276.0,420.0,418.0,,,
자본총계(지배),,188.0,276.0,420.0,418.0,,,
자본총계(비지배),,,,,,,,
자본금,,193.0,274.0,391.0,391.0,,,
영업활동현금흐름,,1.0,-3.0,18.0,17.0,,,
투자활동현금흐름,,-502.0,-25.0,-165.0,-24.0,,,
재무활동현금흐름,,521.0,93.0,236.0,-59.0,,,
CAPEX,,114.0,23.0,3.0,23.0,,,
FCF,,-113.0,-26.0,15.0,-5.0,,,
이자발생부채,,325.0,330.0,430.0,380.0,,,
영업이익률,,-41.0,33.99,48.58,42.14,,,
순이익률,,-79.2,0.74,18.14,14.2,,,
ROE(%),,,0.1,2.46,1.43,,,
ROA(%),,,0.04,1.17,0.73,,,
부채비율,,181.83,120.17,102.99,91.87,,,
자본유보율,,-2.55,0.8,7.35,6.71,,,
EPS(원),,-291.0,4.0,138.0,77.0,,,
PER(배),,,,34.28,50.79,,,
BPS(원),,4873.0,5040.0,5368.0,5335.0,,,
PBR(배),,0.0,0.0,0.88,0.73,,,
현금DPS(원),,0.0,0.0,109.0,76.0,,,
현금배당수익률,,,,2.31,1.95,,,
현금배당성향(%),,0.0,0.0,99.58,99.22,,,
발행주식수(보통주),,3863815.0,5476815.0,7826815.0,7826815.0,,,
