주요재무정보,2013(GAAP개별),2014(IFRS별도),2015(IFRS별도),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,1622.0,1698.0,1780.0,1867.0,1917.0,,,
영업이익,246.0,277.0,256.0,156.0,246.0,,,
영업이익(발표기준),246.0,277.0,256.0,156.0,246.0,,,
세전계속사업이익,218.0,300.0,255.0,156.0,243.0,,,
당기순이익,170.0,86.0,261.0,127.0,180.0,,,
당기순이익(지배),170.0,86.0,261.0,127.0,180.0,,,
당기순이익(비지배),,,,,,,,
자산총계,1351.0,1680.0,1955.0,2037.0,2049.0,,,
부채총계,679.0,997.0,727.0,743.0,634.0,,,
자본총계,672.0,683.0,1228.0,1294.0,1415.0,,,
자본총계(지배),672.0,683.0,1228.0,1294.0,1415.0,,,
자본총계(비지배),,,,,,,,
자본금,108.0,108.0,120.0,120.0,120.0,,,
영업활동현금흐름,115.0,160.0,42.0,253.0,258.0,,,
투자활동현금흐름,-29.0,-185.0,-278.0,-202.0,-64.0,,,
재무활동현금흐름,-51.0,45.0,208.0,-48.0,-168.0,,,
CAPEX,31.0,184.0,269.0,172.0,72.0,,,
FCF,84.0,-23.0,-227.0,81.0,186.0,,,
이자발생부채,294.0,473.0,391.0,411.0,288.0,,,
영업이익률,15.16,16.3,14.4,8.35,12.83,,,
순이익률,10.45,5.09,14.67,6.8,9.37,,,
ROE(%),28.05,12.74,27.32,10.08,13.26,,,
ROA(%),13.3,5.7,14.37,6.37,8.79,,,
부채비율,101.0,145.92,59.17,57.44,44.77,,,
자본유보율,520.53,528.25,921.95,980.12,1089.14,,,
EPS(원),788.0,401.0,1146.0,531.0,751.0,,,
PER(배),,,12.39,26.25,16.7,,,
BPS(원),3123.0,3176.0,5137.0,5413.0,5919.0,,,
PBR(배),0.0,0.0,2.76,2.58,2.12,,,
현금DPS(원),300.0,300.0,275.0,200.0,250.0,,,
현금배당수익률,,,1.94,1.43,1.99,,,
현금배당성향(%),38.06,74.74,25.18,37.63,33.27,,,
발행주식수(보통주),21516170.0,21516170.0,23906860.0,23906860.0,23906860.0,,,
