주요재무정보,2013(GAAP개별),2014(IFRS별도),2015,2016,2017,2018(E),2019(E),2020(E)
매출액,524.0,2419.0,3096.0,3261.0,2457.0,2677.0,3350.0,3835.0
영업이익,83.0,991.0,1118.0,909.0,454.0,516.0,844.0,1002.0
영업이익(발표기준),83.0,991.0,1118.0,733.0,454.0,,,
세전계속사업이익,86.0,1008.0,1151.0,990.0,488.0,598.0,928.0,1094.0
당기순이익,68.0,763.0,837.0,667.0,420.0,447.0,694.0,819.0
당기순이익(지배),68.0,763.0,837.0,355.0,275.0,315.0,512.0,603.0
당기순이익(비지배),,,,312.0,145.0,,,
자산총계,258.0,1548.0,3880.0,5394.0,5624.0,5798.0,6121.0,6470.0
부채총계,164.0,745.0,712.0,1312.0,931.0,916.0,872.0,761.0
자본총계,94.0,802.0,3168.0,4081.0,4693.0,4882.0,5249.0,5709.0
자본총계(지배),94.0,802.0,3168.0,2157.0,4373.0,4550.0,4910.0,5361.0
자본총계(비지배),,,,1924.0,320.0,,,
자본금,40.0,40.0,44.0,46.0,110.0,110.0,110.0,110.0
영업활동현금흐름,138.0,1211.0,693.0,414.0,288.0,432.0,607.0,675.0
투자활동현금흐름,-91.0,-847.0,-1878.0,-138.0,-312.0,-41.0,-184.0,-194.0
재무활동현금흐름,,-60.0,1560.0,-607.0,-131.0,-267.0,-233.0,-258.0
CAPEX,26.0,71.0,56.0,150.0,122.0,0.0,0.0,0.0
FCF,111.0,1141.0,637.0,264.0,166.0,390.0,459.0,524.0
이자발생부채,,,,351.0,401.0,,,
영업이익률,15.84,40.95,36.1,27.87,18.46,19.28,25.21,26.12
순이익률,12.9,31.56,27.03,20.45,17.1,16.7,20.71,21.35
ROE(%),111.89,170.3,,13.34,8.42,7.06,10.82,11.75
ROA(%),37.43,84.53,,14.38,7.63,7.83,11.65,13.01
부채비율,174.33,92.9,22.48,32.16,19.84,18.76,16.62,13.32
자본유보율,135.36,2005.77,7153.09,4515.79,3897.37,,,
EPS(원),422.0,4771.0,5206.0,2033.0,1345.0,1436.0,2334.0,2751.0
PER(배),,,14.7,21.15,33.76,30.85,18.98,16.1
BPS(원),588.0,5014.0,18133.0,12601.0,24821.0,25828.0,27870.0,30429.0
PBR(배),0.0,0.0,4.22,3.41,1.83,1.72,1.59,1.46
현금DPS(원),125.0,452.0,958.0,701.0,600.0,541.0,541.0,541.0
현금배당수익률,,,1.25,1.63,1.32,1.22,1.22,1.22
현금배당성향(%),29.61,9.17,19.99,33.8,38.44,0.38,0.23,0.2
발행주식수(보통주),16000000.0,16000000.0,17471300.0,17471300.0,21929315.0,,,
