주요재무정보,Unnamed: 1,2014(IFRS별도),2015(IFRS별도),2016,2017,2018(E),2019(E),2020(E)
매출액,,,380.0,1536.0,1452.0,,,
영업이익,,,26.0,94.0,87.0,,,
영업이익(발표기준),,,26.0,94.0,87.0,,,
세전계속사업이익,,,189.0,83.0,151.0,,,
당기순이익,,,182.0,64.0,120.0,,,
당기순이익(지배),,,182.0,64.0,121.0,,,
당기순이익(비지배),,,,,-1.0,,,
자산총계,,,2076.0,2103.0,1985.0,,,
부채총계,,,155.0,229.0,202.0,,,
자본총계,,,1921.0,1874.0,1784.0,,,
자본총계(지배),,,1921.0,1874.0,1781.0,,,
자본총계(비지배),,,,,3.0,,,
자본금,,,455.0,455.0,455.0,,,
영업활동현금흐름,,,94.0,81.0,93.0,,,
투자활동현금흐름,,,-802.0,0.0,-36.0,,,
재무활동현금흐름,,,1244.0,-18.0,-76.0,,,
CAPEX,,,0.0,0.0,18.0,,,
FCF,,,94.0,81.0,75.0,,,
이자발생부채,,,,,,,,
영업이익률,,,6.77,6.14,6.02,,,
순이익률,,,47.78,4.18,8.28,,,
ROE(%),,,,,6.62,,,
ROA(%),,,,,5.88,,,
부채비율,,,8.07,12.2,11.31,,,
자본유보율,,,322.49,332.28,349.98,,,
EPS(원),,,2019.0,705.0,1330.0,,,
PER(배),,,15.2,23.32,10.98,,,
BPS(원),,,21117.0,20604.0,20246.0,,,
PBR(배),,,1.45,0.8,0.72,,,
현금DPS(원),,,200.0,400.0,500.0,550.0,550.0,550.0
현금배당수익률,,,0.65,2.43,3.42,1.91,1.91,1.91
현금배당성향(%),,,10.01,56.68,36.35,,,
발행주식수(보통주),,,9100836.0,9100836.0,9100836.0,,,
