주요재무정보,Unnamed: 1,2014,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,,,2001.0,3451.0,4037.0,4732.0,5846.0,6352.0
영업이익,,,111.0,195.0,198.0,226.0,285.0,374.0
영업이익(발표기준),,,111.0,195.0,198.0,,,
세전계속사업이익,,,82.0,184.0,186.0,198.0,278.0,358.0
당기순이익,,,61.0,147.0,143.0,156.0,218.0,276.0
당기순이익(지배),,,55.0,132.0,128.0,140.0,197.0,254.0
당기순이익(비지배),,,6.0,15.0,15.0,,,
자산총계,,,2442.0,2758.0,2851.0,3462.0,4093.0,4484.0
부채총계,,,1304.0,1458.0,1516.0,2100.0,2652.0,2896.0
자본총계,,,1139.0,1300.0,1335.0,1362.0,1446.0,1588.0
자본총계(지배),,,1071.0,1228.0,1171.0,1188.0,1256.0,1381.0
자본총계(비지배),,,67.0,72.0,163.0,,,
자본금,,,151.0,153.0,153.0,152.0,152.0,152.0
영업활동현금흐름,,,-51.0,257.0,-74.0,406.0,337.0,344.0
투자활동현금흐름,,,99.0,-12.0,9.0,-447.0,-332.0,-232.0
재무활동현금흐름,,,10.0,-29.0,78.0,56.0,64.0,2.0
CAPEX,,,32.0,14.0,164.0,266.0,176.0,120.0
FCF,,,-82.0,242.0,-238.0,-45.0,32.0,279.0
이자발생부채,,,402.0,396.0,496.0,,,
영업이익률,,,5.56,5.65,4.9,4.78,4.88,5.88
순이익률,,,3.05,4.26,3.55,3.31,3.73,4.35
ROE(%),,,,11.48,10.69,11.87,16.12,19.3
ROA(%),,,,5.66,5.11,4.96,5.77,6.44
부채비율,,,114.51,112.15,113.61,154.13,183.4,182.34
자본유보율,,,605.23,680.3,733.99,,,
EPS(원),,,241.0,436.0,419.0,457.0,643.0,831.0
PER(배),,,,12.99,15.02,14.37,10.21,7.91
BPS(원),,,3553.0,4009.0,3825.0,3879.0,4101.0,4509.0
PBR(배),,,0.0,1.41,1.64,1.69,1.6,1.46
현금DPS(원),,,125.0,150.0,160.0,180.0,195.0,195.0
현금배당수익률,,,,2.65,2.54,2.74,2.97,2.97
현금배당성향(%),,,68.79,34.82,38.2,0.39,0.3,0.23
발행주식수(보통주),,,30140130.0,30624879.0,30624879.0,,,
