주요재무정보,Unnamed: 1,Unnamed: 2,2015,2016,2017,2018(E),2019(E),2020(E)
매출액,,,,2013.0,4607.0,5075.0,5431.0,5782.0
영업이익,,,,148.0,254.0,326.0,375.0,422.0
영업이익(발표기준),,,,148.0,254.0,,,
세전계속사업이익,,,,140.0,204.0,300.0,344.0,392.0
당기순이익,,,,126.0,198.0,258.0,288.0,328.0
당기순이익(지배),,,,126.0,198.0,258.0,288.0,328.0
당기순이익(비지배),,,,,,,,
자산총계,,,,5504.0,5646.0,5972.0,6084.0,6640.0
부채총계,,,,2819.0,2796.0,3014.0,2984.0,3332.0
자본총계,,,,2684.0,2851.0,2964.0,3094.0,3308.0
자본총계(지배),,,,2684.0,2851.0,2964.0,3094.0,3308.0
자본총계(비지배),,,,,,,,
자본금,,,,178.0,196.0,218.0,228.0,243.0
영업활동현금흐름,,,,192.0,737.0,570.0,534.0,608.0
투자활동현금흐름,,,,-138.0,-479.0,-206.0,-244.0,-251.0
재무활동현금흐름,,,,-1.0,-54.0,-90.0,-278.0,136.0
CAPEX,,,,83.0,167.0,96.0,137.0,143.0
FCF,,,,109.0,570.0,520.0,500.0,510.0
이자발생부채,,,,1304.0,1304.0,,,
영업이익률,,,,7.35,5.5,6.43,6.91,7.31
순이익률,,,,6.25,4.31,5.08,5.3,5.68
ROE(%),,,,,7.17,8.87,9.51,10.26
ROA(%),,,,,3.56,4.44,4.78,5.16
부채비율,,,,105.04,98.06,101.67,96.43,100.71
자본유보율,,,,1405.09,1356.82,,,
EPS(원),,,,1412.0,919.0,1195.0,1334.0,1521.0
PER(배),,,,12.26,25.46,20.96,18.78,16.46
BPS(원),,,,12434.0,13208.0,13733.0,14337.0,15329.0
PBR(배),,,,1.39,1.77,1.82,1.75,1.63
현금DPS(원),,,,248.0,364.0,417.0,433.0,450.0
현금배당수익률,,,,1.43,1.55,1.66,1.73,1.8
현금배당성향(%),,,,42.55,39.56,0.35,0.32,0.3
발행주식수(보통주),,,,21591413.0,21591413.0,,,
