주요재무정보,Unnamed: 1,Unnamed: 2,2015(IFRS별도),2016,2017,2018(E),2019(E),2020(E)
매출액,,,,,18867.0,34262.0,36054.0,37697.0
영업이익,,,,,952.0,2415.0,2637.0,2933.0
영업이익(발표기준),,,,,952.0,,,
세전계속사업이익,,,,,698.0,2237.0,2523.0,2834.0
당기순이익,,,,,466.0,1739.0,1936.0,2163.0
당기순이익(지배),,,,,466.0,1236.0,1422.0,1595.0
당기순이익(비지배),,,,,,,,
자산총계,,,,,22287.0,27822.0,29914.0,31714.0
부채총계,,,,,10577.0,12437.0,12735.0,12676.0
자본총계,,,,,11709.0,15386.0,17179.0,19040.0
자본총계(지배),,,,,11717.0,12995.0,14397.0,15961.0
자본총계(비지배),,,,,-8.0,,,
자본금,,,,,494.0,520.0,520.0,522.0
영업활동현금흐름,,,,,75.0,1962.0,1856.0,2134.0
투자활동현금흐름,,,,,-1046.0,-1800.0,-734.0,-754.0
재무활동현금흐름,,,,,2251.0,-642.0,-519.0,-641.0
CAPEX,,,,,262.0,650.0,471.0,476.0
FCF,,,,,-187.0,1136.0,998.0,1532.0
이자발생부채,,,,,6738.0,,,
영업이익률,,,,,5.05,7.05,7.31,7.78
순이익률,,,,,2.47,5.07,5.37,5.74
ROE(%),,,,,,10.0,10.38,10.51
ROA(%),,,,,,6.94,6.71,7.02
부채비율,,,,,90.33,80.83,74.13,66.58
자본유보율,,,,,2165.01,,,
EPS(원),,,,,7649.0,12511.0,14394.0,16152.0
PER(배),,,,,22.09,9.43,8.2,7.31
BPS(원),,,,,119263.0,132276.0,146544.0,162461.0
PBR(배),,,,,1.42,0.89,0.81,0.73
현금DPS(원),,,,,,221.0,238.0,301.0
현금배당수익률,,,,,,0.19,0.2,0.26
현금배당성향(%),,,,,0.0,0.02,0.02,0.02
발행주식수(보통주),,,,,9876295.0,,,
