주요재무정보,2013(GAAP개별),2014(GAAP개별),2015(GAAP개별),2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,,97.0,1919.0,3101.0,3334.0,3536.0,3766.0,3970.0
영업이익,,-2.0,65.0,410.0,427.0,392.0,502.0,610.0
영업이익(발표기준),,-2.0,65.0,410.0,427.0,,,
세전계속사업이익,,2.0,22.0,313.0,361.0,321.0,432.0,550.0
당기순이익,,1.0,15.0,242.0,279.0,246.0,328.0,420.0
당기순이익(지배),,1.0,15.0,242.0,279.0,246.0,328.0,420.0
당기순이익(비지배),,,,,,,,
자산총계,,1083.0,4781.0,4920.0,4974.0,5730.0,5900.0,6200.0
부채총계,,127.0,2897.0,2739.0,2516.0,3020.0,2850.0,2830.0
자본총계,,956.0,1884.0,2180.0,2458.0,2700.0,3030.0,3360.0
자본총계(지배),,956.0,1884.0,2180.0,2458.0,2700.0,3030.0,3360.0
자본총계(비지배),,,,,,,,
자본금,,362.0,710.0,710.0,710.0,710.0,710.0,710.0
영업활동현금흐름,,-11.0,325.0,523.0,541.0,610.0,520.0,630.0
투자활동현금흐름,,-264.0,-54.0,-82.0,-166.0,-460.0,-290.0,0.0
재무활동현금흐름,,280.0,-257.0,-286.0,-299.0,340.0,-170.0,-90.0
CAPEX,,2.0,74.0,79.0,159.0,480.0,320.0,60.0
FCF,,-13.0,252.0,444.0,382.0,,,
이자발생부채,,23.0,2530.0,2256.0,1966.0,,,
영업이익률,,-1.83,3.38,13.21,12.79,11.08,13.31,15.37
순이익률,,1.25,0.8,7.81,8.38,6.94,8.7,10.58
ROE(%),,,1.09,11.92,12.05,9.52,11.43,13.15
ROA(%),,,0.53,4.99,5.65,4.59,5.63,6.94
부채비율,,13.27,153.74,125.65,102.38,111.85,94.06,84.23
자본유보율,,163.85,165.19,206.86,245.92,,,
EPS(원),,164.0,143.0,1704.0,1966.0,1728.0,2305.0,2956.0
PER(배),,,,,10.3,11.2,8.4,6.55
BPS(원),,13193.0,13260.0,15343.0,17296.0,19001.0,21323.0,23646.0
PBR(배),,0.0,0.0,0.0,1.17,1.02,0.91,0.82
현금DPS(원),,0.0,0.0,0.0,,0.0,576.0,858.0
현금배당수익률,,,,,,0.0,2.98,4.43
현금배당성향(%),,0.0,0.0,0.0,,,0.25,0.29
발행주식수(보통주),,7247000.0,14209804.0,14209804.0,14209804.0,,,
