주요재무정보,Unnamed: 1,Unnamed: 2,Unnamed: 3,2016,2017,2018(E),2019(E),2020(E)
매출액,,,,,4048.0,18705.0,21270.0,21920.0
영업이익,,,,,84.0,867.0,1301.0,1540.0
영업이익(발표기준),,,,,84.0,,,
세전계속사업이익,,,,,33.0,630.0,1065.0,1330.0
당기순이익,,,,,19.0,485.0,810.0,1015.0
당기순이익(지배),,,,,20.0,485.0,809.0,1014.0
당기순이익(비지배),,,,,-1.0,,,
자산총계,,,,,19070.0,22655.0,23140.0,23845.0
부채총계,,,,,10798.0,10775.0,10605.0,10490.0
자본총계,,,,,8272.0,11880.0,12530.0,13355.0
자본총계(지배),,,,,8247.0,11860.0,12510.0,13335.0
자본총계(비지배),,,,,25.0,,,
자본금,,,,,21.0,30.0,30.0,30.0
영업활동현금흐름,,,,,310.0,800.0,1840.0,1950.0
투자활동현금흐름,,,,,-1405.0,-3370.0,-1210.0,-1100.0
재무활동현금흐름,,,,,960.0,3235.0,-985.0,-510.0
CAPEX,,,,,169.0,3020.0,1050.0,1005.0
FCF,,,,,141.0,-460.0,580.0,750.0
이자발생부채,,,,,6845.0,,,
영업이익률,,,,,2.08,4.63,6.12,7.03
순이익률,,,,,0.48,2.59,3.81,4.63
ROE(%),,,,,,4.82,6.64,7.85
ROA(%),,,,,,2.33,3.54,4.32
부채비율,,,,,130.54,90.7,84.64,78.55
자본유보율,,,,,39099.64,,,
EPS(원),,,,,2170.0,11523.0,19220.0,24103.0
PER(배),,,,,67.27,14.41,8.64,6.89
BPS(원),,,,,196156.0,282077.0,297537.0,317158.0
PBR(배),,,,,0.74,0.59,0.56,0.52
현금DPS(원),,,,,280.0,2650.0,3750.0,4600.0
현금배당수익률,,,,,0.19,1.6,2.26,2.77
현금배당성향(%),,,,,58.08,0.23,0.2,0.19
발행주식수(보통주),,,,,4209102.0,,,
