주요재무정보,Unnamed: 1,Unnamed: 2,Unnamed: 3,2016(IFRS별도),2017(IFRS별도),2018(E)(IFRS별도),2019(E)(IFRS별도),2020(E)(IFRS별도)
매출액,,,,,283.0,,,
영업이익,,,,,14.0,,,
영업이익(발표기준),,,,,14.0,,,
세전계속사업이익,,,,,2.0,,,
당기순이익,,,,,2.0,,,
당기순이익(지배),,,,,2.0,,,
당기순이익(비지배),,,,,,,,
자산총계,,,,,3486.0,,,
부채총계,,,,,252.0,,,
자본총계,,,,,3234.0,,,
자본총계(지배),,,,,3234.0,,,
자본총계(비지배),,,,,,,,
자본금,,,,,69.0,,,
영업활동현금흐름,,,,,23.0,,,
투자활동현금흐름,,,,,-20.0,,,
재무활동현금흐름,,,,,23.0,,,
CAPEX,,,,,7.0,,,
FCF,,,,,16.0,,,
이자발생부채,,,,,69.0,,,
영업이익률,,,,,5.03,,,
순이익률,,,,,0.71,,,
ROE(%),,,,,,,,
ROA(%),,,,,,,,
부채비율,,,,,7.79,,,
자본유보율,,,,,4659.6,,,
EPS(원),,,,,89.0,,,
PER(배),,,,,114.15,,,
BPS(원),,,,,23552.0,,,
PBR(배),,,,,0.43,,,
현금DPS(원),,,,,,,,
현금배당수익률,,,,,,,,
현금배당성향(%),,,,,0.0,,,
발행주식수(보통주),,,,,,,,
