주요재무정보,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2017,2018(E),2019(E),2020(E)
매출액,,,,,303.0,3990.0,4844.0,5768.0
영업이익,,,,,50.0,708.0,896.0,1095.0
영업이익(발표기준),,,,,50.0,,,
세전계속사업이익,,,,,40.0,709.0,897.0,1099.0
당기순이익,,,,,24.0,528.0,672.0,802.0
당기순이익(지배),,,,,23.0,490.0,624.0,746.0
당기순이익(비지배),,,,,2.0,,,
자산총계,,,,,4295.0,5038.0,5828.0,6186.0
부채총계,,,,,703.0,992.0,1206.0,1192.0
자본총계,,,,,3592.0,4040.0,4623.0,4994.0
자본총계(지배),,,,,3516.0,3930.0,4464.0,4780.0
자본총계(비지배),,,,,76.0,,,
자본금,,,,,22.0,21.0,21.0,22.0
영업활동현금흐름,,,,,52.0,523.0,557.0,647.0
투자활동현금흐름,,,,,-8.0,-221.0,-138.0,-213.0
재무활동현금흐름,,,,,0.0,0.0,-78.0,-189.0
CAPEX,,,,,1.0,220.0,75.0,150.0
FCF,,,,,51.0,490.0,620.0,
이자발생부채,,,,,0.0,,,
영업이익률,,,,,16.53,17.74,18.5,18.98
순이익률,,,,,8.01,13.24,13.86,13.9
ROE(%),,,,,,13.16,14.86,16.14
ROA(%),,,,,,11.33,12.36,13.35
부채비율,,,,,19.58,24.55,26.08,23.87
자본유보율,,,,,15593.87,,,
EPS(원),,,,,503.0,10919.0,13894.0,16624.0
PER(배),,,,,,20.97,16.48,13.78
BPS(원),,,,,78341.0,87625.0,99543.0,106590.0
PBR(배),,,,,0.0,2.61,2.3,2.15
현금DPS(원),,,,,,1750.0,2100.0,5000.0
현금배당수익률,,,,,,0.76,0.92,2.18
현금배당성향(%),,,,,,0.16,0.15,0.3
발행주식수(보통주),,,,,4487466.0,,,
