035760.KQ,CJ오쇼핑,텔레비전 방송업
058820.KQ,CMG제약,의약품 제조업
277410.KQ,IBKS제8호스팩,금융 지원 서비스업
035600.KQ,KG이니시스,소프트웨어 개발 및 공급업
219550.KQ,MP한강,생활용품 도매업
099220.KQ,SDN,기계장비 및 관련 물품 도매업
057500.KQ,SKC 솔믹스,전자부품 제조업
178920.KQ,SKC코오롱PI,플라스틱제품 제조업
040300.KQ,YTN,"영화, 비디오물, 방송프로그램 제작 및 배급업"
192410.KQ,감마누,통신 및 방송 장비 제조업
063080.KQ,게임빌,기타 금융업
039240.KQ,경남스틸,1차 철강 제조업
038530.KQ,골드퍼시픽,생활용품 도매업
223040.KQ,교보5호스팩,금융 지원 서비스업
267320.KQ,교보7호스팩,금융 지원 서비스업
053270.KQ,구영테크,자동차 신품 부품 제조업
006050.KQ,국영지앤엠,유리 및 유리제품 제조업
049080.KQ,기가레인,특수 목적용 기계 제조업
039860.KQ,나노엔텍,의료용 기기 제조업
091970.KQ,나노캠텍,플라스틱제품 제조업
212560.KQ,네오오토,자동차 신품 부품 제조업
065170.KQ,넥스트BT,음·식료품 및 담배 도매업
139670.KQ,넥스트리밍,소프트웨어 개발 및 공급업
051980.KQ,넥스트바이오홀딩스,통신 및 방송 장비 제조업
092600.KQ,넥스트칩,반도체 제조업
144510.KQ,녹십자랩셀,"그외 기타 전문, 과학 및 기술 서비스업"
039560.KQ,다산네트웍스,통신 및 방송 장비 제조업
032190.KQ,다우데이타,기계장비 및 관련 물품 도매업
005710.KQ,대원산업,자동차 신품 부품 제조업
071460.KQ,대유위니아,가정용 기기 제조업
065690.KQ,대진디엠피,고무제품 제조업
140520.KQ,대창스틸,1차 철강 제조업
023910.KQ,대한약품,의약품 제조업
073190.KQ,디비케이,가구 제조업
033430.KQ,디에스티,기타 전문 도매업
090710.KQ,디에스티로봇,특수 목적용 기계 제조업
033130.KQ,디지틀조선,"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업"
033310.KQ,디케이디앤아이,기타 금속 가공제품 제조업
171120.KQ,라이온켐텍,기타 화학제품 제조업
069540.KQ,라이트론,통신 및 방송 장비 제조업
171010.KQ,램테크놀러지,기초 화학물질 제조업
060300.KQ,레드로버,"영화, 비디오물, 방송프로그램 제작 및 배급업"
215100.KQ,로보로보,기타 전기장비 제조업
090360.KQ,로보스타,특수 목적용 기계 제조업
016170.KQ,로엔,기록매체 복제업
038060.KQ,루멘스,반도체 제조업
085370.KQ,루트로닉,의료용 기기 제조업
