000120.KS,CJ대한통운,도로 화물 운송업
139130.KS,DGB금융지주,기타 금융업
017940.KS,E1,기타 전문 도매업
114090.KS,GKL,유원지 및 기타 오락관련 서비스업
109070.KS,KGP,"골판지, 종이 상자 및 종이용기 제조업"
000040.KS,KR모터스,그외 기타 운송장비 제조업
051910.KS,LG화학,기초 화학물질 제조업
034730.KS,SK,기타 금융업
002710.KS,TCC동양,1차 철강 제조업
035250.KS,강원랜드,유원지 및 기타 오락관련 서비스업
012200.KS,계양전기,일반 목적용 기계 제조업
011780.KS,금호석유화학,기초 화학물질 제조업
073240.KS,금호타이어,고무제품 제조업
092440.KS,기신정기,특수 목적용 기계 제조업
013700.KS,까뮤이앤씨,건물 건설업
004540.KS,깨끗한나라,"펄프, 종이 및 판지 제조업"
003920.KS,남양유업,낙농제품 및 식용빙과류 제조업
025860.KS,남해화학,"비료, 농약 및 살균, 살충제 제조업"
000490.KS,대동공업,특수 목적용 기계 제조업
000210.KS,대림산업,토목 건설업
016710.KS,대성홀딩스,회사 본부 및 경영 컨설팅 서비스업
002880.KS,대유에이텍,자동차 신품 부품 제조업
003830.KS,대한화섬,화학섬유 제조업
024900.KS,덕양산업,자동차 신품 부품 제조업
001230.KS,동국제강,1차 철강 제조업
023450.KS,동남합성,기초 화학물질 제조업
004140.KS,동방,도로 화물 운송업
102260.KS,동성코퍼레이션,회사 본부 및 경영 컨설팅 서비스업
000640.KS,동아쏘시오홀딩스,기타 금융업
002900.KS,동양물산기업,특수 목적용 기계 제조업
030720.KS,동원수산,어로 어업
014820.KS,동원시스템즈,플라스틱제품 제조업
004890.KS,동일산업,1차 철강 제조업
002690.KS,동일제강,1차 철강 제조업
082740.KS,두산엔진,일반 목적용 기계 제조업
280360.KS,롯데제과,기타 식품 제조업
027740.KS,마니커,"도축, 육류 가공 및 저장 처리업"
001080.KS,만호제강,1차 철강 제조업
014580.KS,백광소재,"시멘트, 석회, 플라스터 및 그 제품 제조업"
009150.KS,삼성전기,전자부품 제조업
004380.KS,삼익THK,일반 목적용 기계 제조업
004690.KS,삼천리,연료용 가스 제조 및 배관공급업
007540.KS,샘표,기타 금융업
248170.KS,샘표식품,기타 식품 제조업
021050.KS,서원,금속 주조업
136490.KS,선진,동물용 사료 및 조제식품 제조업
019440.KS,세아특수강,1차 철강 제조업
033530.KS,세종공업,자동차 신품 부품 제조업
